source,term_id,term_name,p_value,term_size,query_size,intersection_size,precision,recall,neg_log10_p
GO:BP,GO:0007049,cell cycle,0.036920891268792666,1668,38,12,0.3157894736842105,0.007194244604316547,1.4327278236687002
GO:BP,GO:0006457,protein folding,0.0413561107252331,196,38,5,0.13157894736842105,0.025510204081632654,1.3834603105812175
GO:CC,GO:0032991,protein-containing complex,2.4677252777756723e-06,7979,38,31,0.8157894736842105,0.003885198646446923,5.607703190257521
GO:CC,GO:0005654,nucleoplasm,0.0002532371777477074,4334,38,21,0.5526315789473685,0.004845408398707891,3.5964725352051676
GO:CC,GO:0005829,cytosol,0.004477738775430225,5607,38,22,0.5789473684210527,0.0039236668450151595,2.348941246107219
GO:CC,GO:0099080,supramolecular complex,0.013728381428691094,1938,38,12,0.3157894736842105,0.006191950464396285,1.8623806629106872
GO:CC,GO:0031981,nuclear lumen,0.01847104994554865,5622,38,21,0.5526315789473685,0.003735325506937033,1.7335084173589956
GO:CC,GO:0031974,membrane-enclosed lumen,0.02999541071860554,6791,38,23,0.6052631578947368,0.0033868355175968195,1.5229451870153146
GO:CC,GO:0043233,organelle lumen,0.02999541071860554,6791,38,23,0.6052631578947368,0.0033868355175968195,1.5229451870153146
GO:CC,GO:0070013,intracellular organelle lumen,0.02999541071860554,6791,38,23,0.6052631578947368,0.0033868355175968195,1.5229451870153146
GO:CC,GO:1902494,catalytic complex,0.03674401090300521,1814,38,11,0.2894736842105263,0.006063947078280044,1.4348134387224458
GO:CC,GO:0140535,intracellular protein-containing complex,0.04691518074877039,976,38,8,0.21052631578947367,0.00819672131147541,1.328686606141124
GO:MF,GO:0031072,heat shock protein binding,0.03964437544700919,128,38,4,0.10526315789473684,0.03125,1.4018184195846881
GO:MF,GO:0051087,protein-folding chaperone binding,0.04336607016912713,131,38,4,0.10526315789473684,0.030534351145038167,1.3628499318099947
KEGG,KEGG:03460,Fanconi anemia pathway,0.018395812404516824,54,21,3,0.14285714285714285,0.05555555555555555,1.7352810278922262
REAC,REAC:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.04089977978462677,276,32,6,0.1875,0.021739130434782608,1.3882790303442205
REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",0.04357384532387263,549,32,8,0.25,0.014571948998178506,1.3607741125625414
