query,source,term_id,term_name,p_value,term_size,query_size,intersection_size
UBR3ring (38),GO:BP,GO:0007049,cell cycle,0.036920891268792666,1668,38,12
UBR3ring (38),GO:BP,GO:0006457,protein folding,0.0413561107252331,196,38,5
UBR3ring (38),GO:CC,GO:0032991,protein-containing complex,2.4677252777756723e-06,7979,38,31
UBR3ring (38),GO:CC,GO:0005654,nucleoplasm,0.0002532371777477074,4334,38,21
UBR3ring (38),GO:CC,GO:0005829,cytosol,0.004477738775430225,5607,38,22
UBR3ring (38),GO:CC,GO:0099080,supramolecular complex,0.013728381428691094,1938,38,12
UBR3ring (38),GO:CC,GO:0031981,nuclear lumen,0.01847104994554865,5622,38,21
UBR3ring (38),GO:CC,GO:0031974,membrane-enclosed lumen,0.02999541071860554,6791,38,23
UBR3ring (38),GO:CC,GO:0043233,organelle lumen,0.02999541071860554,6791,38,23
UBR3ring (38),GO:CC,GO:0070013,intracellular organelle lumen,0.02999541071860554,6791,38,23
UBR3ring (38),GO:CC,GO:1902494,catalytic complex,0.03674401090300521,1814,38,11
UBR3ring (38),GO:CC,GO:0140535,intracellular protein-containing complex,0.04691518074877039,976,38,8
UBR3ring (38),GO:MF,GO:0031072,heat shock protein binding,0.03964437544700919,128,38,4
UBR3ring (38),GO:MF,GO:0051087,protein-folding chaperone binding,0.04336607016912713,131,38,4
UBR3ring (38),KEGG,KEGG:03460,Fanconi anemia pathway,0.018395812404516824,54,21,3
UBR3ring (38),REAC,REAC:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,0.04089977978462677,276,32,6
UBR3ring (38),REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",0.04357384532387263,549,32,8
UBR3wt (50),CORUM,CORUM:2728,SRC-1 complex,0.049652489207577824,3,19,2
UBR3wt (50),CORUM,CORUM:6147,BAFL-BAF-LAP2beta complex,0.049652489207577824,3,19,2
UBR3wt (50),GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.005455245164406336,3152,42,19
UBR3wt (50),GO:BP,GO:0009892,negative regulation of metabolic process,0.009800283591753051,3276,42,19
UBR3wt (50),GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.01122534172973878,1804,42,14
UBR3wt (50),GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.01160038979985515,6392,42,27
UBR3wt (50),GO:BP,GO:0051252,regulation of RNA metabolic process,0.011651535928743743,3654,42,20
UBR3wt (50),GO:BP,GO:0010558,negative regulation of macromolecule biosynthetic process,0.015846188871769622,2733,42,17
UBR3wt (50),GO:BP,GO:0009893,positive regulation of metabolic process,0.017881690537403804,3410,42,19
UBR3wt (50),GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,0.018105222740682363,3080,42,18
UBR3wt (50),GO:BP,GO:1904017,cellular response to Thyroglobulin triiodothyronine,0.021724461858901617,3,42,2
