gene,cluster,degree,direct_UBR3_partner
H2AC18,1,13,False
H2BC13,1,13,False
SMARCA5,1,12,False
H2AC6,1,9,False
H3C1,1,9,False
SMARCA1,1,8,False
H4C1,1,6,False
MACROH2A1,1,6,False
BCL9,1,5,False
SIRT7,1,3,False
TNPO1,1,2,False
RBM6,1,1,False
TET1,1,1,False
TLE4,1,1,False
TNRC6B,2,6,False
TNRC6C,2,6,False
GIGYF2,2,4,False
NCOA1,2,3,False
RPTOR,2,3,False
TELO2,2,3,False
UBAP2L,2,3,False
UBAP2,2,2,False
BRAT1,2,1,False
NCOA2,2,1,False
TSC2,2,1,False
RNPS1,3,6,False
DCP1A,3,3,False
AAAS,3,2,False
GCFC2,3,2,False
KHDRBS1,3,2,False
THOC3,3,2,False
CSTF2T,3,1,False
PPIL3,3,1,False
PSPC1,3,1,False
SART1,3,1,False
CHD7,4,6,False
BANF1,4,5,False
POLR3A,4,5,False
TBCD,4,3,False
OTUD4,4,2,False
TMPO,4,2,False
GPHN,4,1,False
GTF3C5,4,1,False
PLEKHG4,4,1,False
TAB2,4,1,False
BLM,5,8,False
NCAPG2,5,7,False
POLE,5,7,False
CDC45,5,6,False
FANCI,5,6,False
KNTC1,5,5,False
TDRD3,5,2,False
EIF3G,5,1,False
FANCB,5,1,False
UFD1,5,1,False
CEP78,6,1,False
HAUS5,6,1,False
N4BP2L2,7,1,False
NDUFB10,7,1,False
BAG2,8,1,False
SDF2L1,8,1,False
AP1G2,9,0,False
BAG6,10,0,False
CCHCR1,11,0,False
CDC23,12,0,False
COL14A1,13,0,False
ELP6,14,0,False
FRG1,15,0,False
FTSJ3,16,0,False
HOOK1,17,0,False
ISL1,18,0,False
LARP1B,19,0,False
LRCH3,20,0,False
MAGED2,21,0,False
MCRIP2,22,0,False
MPG,23,0,False
MVB12A,24,0,False
RAI1,25,0,False
RYR2,26,0,False
STT3A,27,0,False
UBR3,28,0,False
