stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000209873,9606.ENSP00000265097,AAAS,THOC3,9606,0.488,0.0,0.0,0.0,0.182,0.0,0.4,0.0
9606.ENSP00000209873,9606.ENSP00000457723,AAAS,RNPS1,9606,0.521,0.0,0.0,0.0,0.083,0.0,0.5,0.0
9606.ENSP00000219476,9606.ENSP00000307272,TSC2,RPTOR,9606,0.966,0.0,0.0,0.0,0.253,0.0,0.5,0.917
9606.ENSP00000234739,9606.ENSP00000367022,BCL9,H2AC6,9606,0.499,0.0,0.0,0.0,0.0,0.0,0.5,0.0
9606.ENSP00000234739,9606.ENSP00000366618,BCL9,H2BC13,9606,0.499,0.0,0.0,0.0,0.0,0.0,0.5,0.0
9606.ENSP00000234739,9606.ENSP00000358155,BCL9,H2AC18,9606,0.516,0.0,0.0,0.0,0.0,0.0,0.5,0.072
9606.ENSP00000234739,9606.ENSP00000480826,BCL9,H3C1,9606,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0
9606.ENSP00000234739,9606.ENSP00000365720,BCL9,TLE4,9606,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0
9606.ENSP00000248958,9606.ENSP00000359727,SDF2L1,BAG2,9606,0.54,0.0,0.0,0.0,0.042,0.0,0.54,0.0
9606.ENSP00000253108,9606.ENSP00000440190,EIF3G,TDRD3,9606,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.604
9606.ENSP00000262319,9606.ENSP00000347232,TELO2,BLM,9606,0.637,0.0,0.0,0.0,0.196,0.0,0.0,0.567
9606.ENSP00000262319,9606.ENSP00000339637,TELO2,BRAT1,9606,0.641,0.0,0.0,0.0,0.641,0.0,0.0,0.0
9606.ENSP00000262319,9606.ENSP00000307272,TELO2,RPTOR,9606,0.991,0.0,0.0,0.0,0.088,0.534,0.9,0.816
9606.ENSP00000263202,9606.ENSP00000405726,UFD1,CDC45,9606,0.813,0.0,0.0,0.0,0.108,0.112,0.0,0.783
9606.ENSP00000265097,9606.ENSP00000457723,THOC3,RNPS1,9606,0.575,0.0,0.0,0.0,0.105,0.0,0.5,0.127
9606.ENSP00000266022,9606.ENSP00000329466,RBM6,SIRT7,9606,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.413
9606.ENSP00000266732,9606.ENSP00000353646,TMPO,PLEKHG4,9606,0.431,0.0,0.0,0.0,0.045,0.088,0.4,0.0
9606.ENSP00000266732,9606.ENSP00000433760,TMPO,BANF1,9606,0.967,0.0,0.0,0.0,0.106,0.623,0.5,0.83
9606.ENSP00000268668,9606.ENSP00000382328,NDUFB10,N4BP2L2,9606,0.489,0.0,0.0,0.0,0.0,0.489,0.0,0.0
9606.ENSP00000283131,9606.ENSP00000322570,SMARCA5,POLE,9606,0.612,0.048,0.0,0.0,0.193,0.106,0.0,0.501
9606.ENSP00000283131,9606.ENSP00000392028,SMARCA5,CHD7,9606,0.631,0.0,0.0,0.134,0.058,0.298,0.0,0.431
9606.ENSP00000283131,9606.ENSP00000423563,SMARCA5,MACROH2A1,9606,0.657,0.0,0.0,0.0,0.074,0.478,0.0,0.348
9606.ENSP00000283131,9606.ENSP00000433760,SMARCA5,BANF1,9606,0.684,0.0,0.0,0.0,0.081,0.0,0.0,0.671
9606.ENSP00000283131,9606.ENSP00000329466,SMARCA5,SIRT7,9606,0.698,0.0,0.0,0.0,0.046,0.071,0.0,0.687
9606.ENSP00000283131,9606.ENSP00000361446,SMARCA5,POLR3A,9606,0.71,0.0,0.0,0.0,0.078,0.696,0.0,0.045
9606.ENSP00000283131,9606.ENSP00000366618,SMARCA5,H2BC13,9606,0.734,0.0,0.0,0.0,0.058,0.291,0.5,0.299
9606.ENSP00000283131,9606.ENSP00000480826,SMARCA5,H3C1,9606,0.831,0.0,0.0,0.0,0.067,0.812,0.0,0.115
9606.ENSP00000283131,9606.ENSP00000358155,SMARCA5,H2AC18,9606,0.915,0.0,0.0,0.0,0.067,0.293,0.5,0.772
9606.ENSP00000283131,9606.ENSP00000367022,SMARCA5,H2AC6,9606,0.928,0.0,0.0,0.0,0.067,0.852,0.5,0.081
9606.ENSP00000283131,9606.ENSP00000479106,SMARCA5,H4C1,9606,0.932,0.0,0.0,0.0,0.0,0.93,0.0,0.066
9606.ENSP00000283131,9606.ENSP00000360162,SMARCA5,SMARCA1,9606,0.974,0.0,0.0,0.05,0.059,0.603,0.9,0.388
9606.ENSP00000286175,9606.ENSP00000318690,PPIL3,GCFC2,9606,0.517,0.0,0.0,0.0,0.074,0.0,0.5,0.0
9606.ENSP00000307272,9606.ENSP00000389445,RPTOR,UBAP2L,9606,0.996,0.0,0.0,0.0,0.049,0.994,0.0,0.479
9606.ENSP00000310448,9606.ENSP00000457723,SART1,RNPS1,9606,0.54,0.0,0.0,0.0,0.122,0.124,0.4,0.121
9606.ENSP00000310842,9606.ENSP00000322570,FANCI,POLE,9606,0.529,0.0,0.0,0.0,0.237,0.0,0.0,0.407
9606.ENSP00000310842,9606.ENSP00000328236,FANCI,KNTC1,9606,0.638,0.0,0.0,0.0,0.521,0.0,0.0,0.275
9606.ENSP00000310842,9606.ENSP00000347232,FANCI,BLM,9606,0.773,0.0,0.0,0.0,0.492,0.0,0.0,0.572
9606.ENSP00000310842,9606.ENSP00000387007,FANCI,NCAPG2,9606,0.816,0.0,0.0,0.0,0.787,0.0,0.0,0.169
