gene,wt_rank,WT_293T_log2diff,cellular_role,Ndegron_class,pathway_modules,RING_vs_WT_class,matched_by,degradomics_gene,quantified,WT_quant_peptides,frac_remaining_15h,decay_k_per_h,halflife_h,fit_r2,beyond_window,no_decay,frac_remaining_15h_Torin,frac_remaining_15h_ATG7KO,frac_remaining_15h_RB1CC1KO,autophagy_annotation
UBR3,1,17.1552797953288,Ubiquitin & proteostasis,Stabilizing,,shared / RING-independent,accession,UBR3,True,5.0,0.3331331248959538,0.07130524582871678,9.720844132912223,0.8745552075369327,False,False,0.2078143289922783,0.3073500757776106,0.4224759122020568,
CHD7,2,13.0319658915202,Chromatin remodeling / DNA modification,Stabilizing,2,WT-preferring (RING-dependent binding),accession,CHD7,True,14.0,0.540544580444688,0.04085324997422313,16.96675738153746,0.9817889301139288,True,False,0.5942620274858992,0.556554232009612,0.6329242367507097,
TDRD3,3,10.3028093973796,Chromatin remodeling / DNA modification,Stabilizing,,WT-preferring (RING-dependent binding),accession,TDRD3,True,9.0,1.1506445655530313,-0.007543885966495619,inf,0.5230108312970044,True,True,0.97284568139132,0.9818679070730615,1.1724737375208534,
H3-7,4,10.2500254313151,Histones & chromatin,Stabilizing,3,WT-preferring (RING-dependent binding),not found,,False,,,,,,False,False,,,,
SMARCA5,5,9.95832252502441,Chromatin remodeling / DNA modification,Stabilizing,2,WT-preferring (RING-dependent binding),accession,SMARCA5,True,21.0,0.8112277135575829,0.012478647355160577,55.54665989285229,0.6655647672901868,True,False,0.760358986313427,0.7312770694525507,0.7738553317725263,
BCL9,6,9.91209475199382,Transcription & coregulators,Stabilizing,1;3,WT-preferring (RING-dependent binding),accession,BCL9,True,2.0,0.6015489400496533,0.0321025219483155,21.59167375310576,0.8900752466901845,True,False,0.7706420888794749,0.9024946776716088,0.8376208992139723,
DCP1A,7,9.02884292602539,mRNA silencing & translation,Stabilizing,1,WT-preferring (RING-dependent binding),accession,DCP1A,True,10.0,0.9702084694513742,0.0011499186139809685,602.779337713562,0.028248605431709248,True,False,0.8706021348862913,0.8599191877511605,0.9215340574181408,
COL14A1,8,9.0170300801595,Cytoskeleton & structural,Stabilizing,,shared / RING-independent,accession,COL14A1,True,2.0,0.6419184589028857,0.029284905852996198,23.66909369759944,0.9221454090668596,True,False,0.7017268749333714,0.5821023307292923,0.7878970047067402,
MCRIP2,9,9.00793202718099,Transcription & coregulators,Stabilizing,1,WT-preferring (RING-dependent binding),accession,MCRIP2,True,1.0,0.9454428034013782,0.0016214110257761166,427.49627919185906,0.003979436018887578,True,False,0.565968647502359,,1.0624630283753478,
BLM,10,8.9068431854248,DNA replication & repair,Stabilizing,2,WT-preferring (RING-dependent binding),accession,BLM,True,14.0,0.5755097296249156,0.03643624350495701,19.02356318553106,0.9886677659031328,True,False,0.6648954358809827,0.47064132189283964,0.5959663864076177,
BANF1,11,8.7847048441569,Histones & chromatin,Stabilizing,4,WT-preferring (RING-dependent binding),accession,BANF1,True,3.0,1.1700416759956354,-0.008679930471896788,inf,0.6524435086119738,True,True,1.3778805916607548,0.9257614830612768,0.8298525976468137,
H2AC6,12,8.75220807393392,Histones & chromatin,Stabilizing,1;2;3,WT-preferring (RING-dependent binding),not found,,False,,,,,,False,False,,,,
RAI1,13,8.7039311726888,Transcription & coregulators,Stabilizing,,WT-preferring (RING-dependent binding),accession,RAI1,True,6.0,0.8593261232687097,0.00853415318184251,81.22038189268778,0.622720685540586,True,False,1.010223600261104,0.737950528510918,0.9349868097428077,
TAB2,14,8.54893112182617,mTOR & signaling,Stabilizing,,WT-preferring (RING-dependent binding),accession,TAB2,True,2.0,0.8504567223341639,0.010875132196892921,63.73689698760451,0.5428720056817985,True,False,0.8044826163220424,0.7951590779202125,0.9813028174207397,
SMARCA1,15,8.52735455830892,Chromatin remodeling / DNA modification,Stabilizing,2,WT-preferring (RING-dependent binding),accession,SMARCA1,True,24.0,0.709929549925803,0.022029440841709408,31.464583488091815,0.9528585971342945,True,False,0.743012141966917,0.7707642872666493,0.6782366278622982,
TLE4,16,8.26568222045898,Transcription & coregulators,Stabilizing,1;3,WT-preferring (RING-dependent binding),accession,TLE4,True,8.0,0.7898913857513719,0.016542546074830463,41.90087652919226,0.9387478238878009,True,False,0.7840625083775743,0.6511549846331546,0.8821451114530756,
ISL1,17,7.79051208496094,Transcription & coregulators,Stabilizing,,WT-preferring (RING-dependent binding),accession,ISL1,True,2.0,0.24963074131679697,0.0905172223078433,7.657627608175999,0.9749039880027851,False,False,0.26676116744114414,0.19736719720436452,0.33229257665888595,
TET1,18,7.78449376424154,Chromatin remodeling / DNA modification,Stabilizing,2,WT-preferring (RING-dependent binding),accession,TET1,True,3.0,0.3990439593329588,0.059511414236752394,11.647298076339096,0.932754112762476,False,False,0.3643621193765839,0.40398794527660653,0.47096986638434707,
OTUD4,19,7.6890926361084,Ubiquitin & proteostasis,Stabilizing,,WT-preferring (RING-dependent binding),accession,OTUD4,True,9.0,1.0447590422900102,-0.0032351272031909102,inf,0.6004657145407477,True,True,1.1230275560060634,0.8615927132463369,1.0753742792064445,
N4BP2L2,20,7.56002998352051,Ubiquitin & proteostasis,Stabilizing,,WT-preferring (RING-dependent binding),accession,N4BP2L2,True,1.0,0.6003293509314501,0.03174817461022738,21.83266247807061,0.3574559926293735,True,False,0.43582805820907033,0.5996462969623637,,
LRCH3,21,7.48434003194173,Cytoskeleton & structural,Stabilizing,,WT-preferring (RING-dependent binding),accession,LRCH3,True,4.0,0.7435844914517338,0.02042566221152638,33.93511423922384,0.8528868000877345,True,False,0.6017560274196676,0.5684594658617481,0.7395863841018329,
LARP1B,22,7.48213068644206,mRNA silencing & translation,Stabilizing,1,WT-preferring (RING-dependent binding),accession,LARP1B,True,7.0,0.8063505378287061,0.013269964370325795,52.23429100608261,0.5776899935988807,True,False,0.6526664792871523,0.686903432872805,0.7913080243622306,
TNPO1,23,7.17687543233236,"Protein folding, ER & transport",Stabilizing,,WT-preferring (RING-dependent binding),accession,TNPO1,True,20.0,0.9622866853377077,0.003360640850020401,206.25446499459693,0.3129371555628491,True,False,0.9675775253707888,0.8826212322634284,1.0147362931808295,
CLECL1P,24,7.06810188293457,Mitochondria & other,Stabilizing,,WT-preferring (RING-dependent binding),not found,,False,,,,,,False,False,,,,
MACROH2A1,25,6.85123125712077,Histones & chromatin,Stabilizing,2;3,WT-preferring (RING-dependent binding),accession,H2AFY,True,25.0,0.9016952145700828,0.007971074113362243,86.9578140539421,0.5820196084438782,True,False,1.2020568202557627,0.8492627728078651,0.9348223104788402,
FRG1,26,6.78778648376465,RNA processing & splicing,Stabilizing,,WT-preferring (RING-dependent binding),accession,FRG1,True,6.0,0.8310291144808242,0.013132417946915758,52.78138293814627,0.7216279310473478,True,False,0.8986873663355974,0.7857133042101081,0.8660784635619863,
GPHN,27,6.74012629191081,Cytoskeleton & structural,Stabilizing,,WT-preferring (RING-dependent binding),accession,GPHN,True,18.0,0.9719951512497786,0.0016321795437083877,424.67581659863396,0.28744982329053487,True,False,0.9416052998518094,0.9087501999367589,1.035428016577139,
TMPO,28,6.7105229695638,Histones & chromatin,Stabilizing,4,WT-preferring (RING-dependent binding),accession,TMPO,True,23.0,0.8669861634662359,0.010263984114465096,67.53198103483896,0.886402567460183,True,False,1.0812450917568226,0.8026552642373294,1.0254223329854444,
RBM6,29,6.17563311258952,RNA processing & splicing,Stabilizing,,WT-preferring (RING-dependent binding),accession,RBM6,True,24.0,0.9229869046628649,0.005778568449738748,119.95136625772474,0.8235786748394007,True,False,0.9771024778594724,0.8273407532120773,1.0064840914494013,
EIF3G,30,6.07990455627441,mRNA silencing & translation,Stabilizing,,WT-preferring (RING-dependent binding),accession,EIF3G,True,13.0,1.1437667870086945,-0.008900957249541326,inf,0.8052333508440476,True,True,0.7939237442460694,1.0307731899390715,1.0473714300362527,
UFD1,31,5.76611518859863,Ubiquitin & proteostasis,Stabilizing,2,WT-preferring (RING-dependent binding),accession,UFD1,True,10.0,0.5208885214598047,0.04279081377795408,16.198504290120702,0.9850826956362916,True,False,0.6196476540459916,0.5098052489406374,0.6393838572182011,
POLE,32,5.39824930826823,DNA replication & repair,Stabilizing,2,RING-preferring (candidate trapped substrate),accession,POLE,True,21.0,0.47434589007820827,0.04768624030624051,14.535580412893987,0.9063699524993112,False,False,0.48722366950851537,0.3931700849984384,0.48104018249762404,
TNRC6C,33,5.22636477152506,mRNA silencing & translation,Stabilizing,1,WT-preferring (RING-dependent binding),accession,TNRC6C,False,0.0,,,,,False,False,,0.6791725268105578,0.8175366840986935,
MVB12A,34,5.03583590189616,"Protein folding, ER & transport",Stabilizing,,WT-preferring (RING-dependent binding),accession,MVB12A,True,3.0,0.6868803008953391,0.025423738493296547,27.26377872171344,0.8167161369297931,True,False,0.6065959273679913,0.7188282386917046,0.719038114192353,
GCFC2,35,4.69440460205078,RNA processing & splicing,Stabilizing,,shared / RING-independent,accession,GCFC2,True,9.0,1.0137303784099028,-0.00045550585523340025,inf,0.01926536327482767,True,True,1.0349293382440365,0.8868894105529934,1.1375800069523159,
CCHCR1,36,4.2830499013265,Cytoskeleton & structural,Stabilizing,,WT-preferring (RING-dependent binding),accession,CCHCR1,True,2.0,0.2386665401315493,0.09096040044388731,7.620318041448617,0.8476940430930878,False,False,0.20021637396830858,0.23997866773632298,0.301805583153299,
H3C1,37,4.26471265157064,Histones & chromatin,Stabilizing,,WT-preferring (RING-dependent binding),protein group,H3F3A,False,0.0,,,,,False,False,,0.12431279894383551,,
H4C1,38,3.93957010904948,Histones & chromatin,Stabilizing,,WT-preferring (RING-dependent binding),accession,HIST1H4A,True,24.0,1.1950057528346694,-0.008596296928106255,inf,0.13913087826839685,True,True,1.124312308163111,0.32793440986323064,0.6064600819211654,
CSTF2T,39,3.71161206563314,RNA processing & splicing,Stabilizing,,WT-preferring (RING-dependent binding),accession,CSTF2T,True,14.0,0.906620601952922,0.007271096170985293,95.32911740679373,0.7537976904396293,True,False,0.8331062805505635,0.898867937056938,0.9901617494789272,
NCOA2,40,3.38048299153646,Transcription & coregulators,Stabilizing,1,WT-preferring (RING-dependent binding),accession,NCOA2,True,7.0,0.7455273708523182,0.019752647014387458,35.09135661944801,0.9422959789165114,True,False,0.7467236945806135,0.6242164908916217,0.789589503971865,
TNRC6B,41,3.36459159851075,mRNA silencing & translation,Stabilizing,1,WT-preferring (RING-dependent binding),accession,TNRC6B,True,11.0,0.8292311877874783,0.012223975732303312,56.703906792633866,0.9154074275744444,True,False,0.7345538841108405,0.8375120684355215,0.9182296088772,
PSPC1,42,3.20085652669271,RNA processing & splicing,Stabilizing,,WT-preferring (RING-dependent binding),accession,PSPC1,True,18.0,0.773130540247762,0.017474849750737452,39.665415751611484,0.9539039562926738,True,False,0.8366503712306386,0.6526253118165157,0.8256221316941041,
GIGYF2,43,3.07853190104167,mRNA silencing & translation,Stabilizing,1,WT-preferring (RING-dependent binding),accession,GIGYF2,True,17.0,0.9357469073278253,0.003961844628357554,174.95566979043812,0.319494222884023,True,False,0.7963407205923916,0.9056981077390533,1.0706665859618396,
H2AC18,44,2.77331352233887,Histones & chromatin,Stabilizing,,WT-preferring (RING-dependent binding),accession,HIST2H2AA3,True,9.0,0.4519642219535889,0.052588678324599604,13.180540044789625,0.9654264124879487,False,False,0.7441945874256379,0.4662712518023515,0.5911275971426421,
