Gene Symbol,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio,frac_remaining_15h,decay_k_per_h,halflife_h
A2M,0.9748624412766674,1.0251375587233325,1.4941729558813945,2.198820349606677,0.7163047644728145,0.9929568164006021,0.6206544938274717,0.5398715393174924,0.580263016572482,0.04808529568054735,14.414950989692143
AAAS,1.0170482164428625,0.9829517835571375,0.870813550890695,0.8415493423623781,0.7709414768669992,0.7655965040579616,0.8120229886725224,0.8060943598720771,0.8090586742722998,0.01486876046673636,46.617684245476894
AACS,1.002969791628122,0.9970302083718781,0.7447636317612101,0.7224640779557544,0.7153570863267259,0.7012311782160854,0.5804624260142565,0.6128711112455267,0.5966667686298917,0.031706811732060684,21.861144110527583
AAGAB,0.9957949123473766,1.0042050876526234,1.071791494801273,0.9583124135823333,0.9077238134130863,0.8747030155165898,0.9400637300904445,0.9002886953075793,0.9201762126990118,0.00757925235604358,91.45323944877497
AAK1,1.0056832809158807,0.9943167190841192,1.0804889082847429,0.9699434422390352,1.0235459426482691,1.0246183131902156,1.081835536048859,1.0564347954619453,1.069135165755402,-0.004014709867289931,inf
AAMDC,1.0555816033998093,0.9444183966001906,0.7242922845510152,0.6523782452727861,0.5632772788421565,0.6237374350688573,0.5059479193820066,0.5291132236468261,0.5175305715144163,0.04240658875479117,16.34527088627548
AAMP,0.9457720049789964,1.0542279950210038,0.8544080573715825,0.7051290001446279,0.7059148377767547,0.7026418264576156,0.5797581172137385,0.5142137421810069,0.5469859296973727,0.03816394450143423,18.162356895102818
AAR2,0.995779694319045,1.004220305680955,1.0446062965186065,1.0112918768107366,1.000054445563076,0.9460715886989325,0.9091000610374571,0.8810831692324663,0.8950916151349617,0.007759079252969364,89.33368998579066
AARS,1.021357673141088,0.978642326858912,0.9588652012979462,0.9432118136475662,0.9705969611632624,0.9232432613259104,0.9685140562262604,0.9857706382262463,0.9771423472262534,0.001468401118905114,472.0421223029151
AARS2,0.9957864284138706,1.0042135715861293,0.8721683201552086,0.850138674134575,0.8268609312419064,0.8133766942923717,0.8140661279762564,0.8314563501072514,0.8227612390417539,0.012683682561673307,54.64873290462586
AARSD1,1.0102413622344746,0.9897586377655253,0.9893911527144575,0.881222534445209,1.020763943941726,1.017633615912152,0.9134193703650122,0.9422921849023085,0.9278557776336603,0.0027454360065331143,252.47253219907998
AASDH,0.9066020274744272,1.093397972525573,1.033567419312828,0.9980019415616959,0.9593553317924373,0.9475288310496172,0.8635312617627943,0.975868738280796,0.9197000000217952,0.006135806941310924,112.96756680741545
AASDHPPT,0.9941910048346628,1.005808995165337,1.0156481674568967,1.0053344199926673,1.0811504865769013,1.0979876309805323,1.031547517765172,1.033552292209574,1.032549904987373,-0.003429442583610634,inf
