gene,Yi_remaining_15h,Yi_decay_k,Li_HEK293T_t_half_h,is_WT_best_hit
ABHD4,1.0338632311656295,-0.0053087445293981,8.05,False
ABHD5,0.5065040613920696,0.0446828305236596,15.8,False
ABT1,0.6038245559398484,0.0326046111422434,20.32,False
ACBD6,0.4859644977797085,0.0455713729792522,17.22,False
ACD,0.4684421593595112,0.0462220767354412,8.49,False
ACTR5,0.6995723350200636,0.0209066927093907,22.18,False
ACTR6,0.6389949237011101,0.0268957369339245,13.18,False
ACTR8,0.7113906870932816,0.0211158984938563,9.72,False
AEBP2,0.22901214913793,0.098543338199583,3.52,False
AGA,0.4708755753796387,0.0471428068211414,1.82,False
AGGF1,0.5245871802132568,0.0427075613885453,18.41,False
AHDC1,0.5383622070445732,0.0420435506575732,16.55,False
AKAP11,0.3477554447640755,0.0691646998888348,11.99,False
AKIRIN1,0.1841449871853339,0.1068119716400485,1.17,False
AKIRIN2,0.1589143436087291,0.116889676231963,1.11,False
ALAS1,0.4677562551883617,0.0490484459858338,10.19,False
ALKBH6,0.6116115531903433,0.03086069711141,18.22,False
ALKBH7,0.2589479896360976,0.0851113696005112,4.0,False
ALMS1,0.3974196614022496,0.0586208824775437,11.42,False
ALX4,0.4509987197013405,0.0512231920222729,11.79,False
AMBRA1,0.3923735957585161,0.0614109217952969,9.42,False
AMD1,0.1841512308173139,0.1023198495698479,2.6,False
AMMECR1,0.508260051204487,0.0423913935894525,27.43,False
ANKHD1,0.5781092457069646,0.0363359703092597,26.91,False
ANKMY2,0.7676545816961617,0.0161907938539107,30.65,False
ANKRD11,0.5852681627337504,0.0391333755733824,12.05,False
ANKRD13C,0.8446048941600501,0.0090940404557834,12.31,False
ANKRD17,0.6426966480821581,0.0293881364458504,29.62,False
ANKRD26,0.4774662438165315,0.0465094646619517,18.76,False
ANKRD39,0.5510146509528968,0.0386228268974255,13.43,False
ANKRD52,0.6955568679059085,0.0222702403177169,18.97,False
ANLN,0.2626012236430133,0.0865701710576651,10.58,False
APBA2,0.4352817595336624,0.0514357145816445,15.42,False
APBB1,0.3740456738873207,0.0644214121365396,16.66,False
APEX2,0.2827648509257157,0.0817895767877525,4.92,False
APOL2,0.738474248721934,0.0208209758716872,23.89,False
APP,0.1295143914948251,0.1320422707055037,1.72,False
APPBP2,0.3423600166830506,0.0683388163708366,3.07,False
ARHGAP11A,0.1530683098452112,0.1243838704700491,3.32,False
ARHGAP19,0.2145159308840087,0.1015874674901532,5.82,False
ARHGAP39,0.397188658217789,0.0629092514425708,9.31,False
ARID4A,0.4535176862654342,0.0525704116000354,23.23,False
ARID4B,0.4319221654184032,0.056598354090509,21.46,False
ARID5B,0.4688297750261074,0.044187033628473,4.76,False
ARL5B,0.4292721592250627,0.0565767749858781,14.55,False
ARL6IP4,0.8043611555999874,0.0145352333030538,12.41,False
ARMC7,0.5978458781862697,0.0319722099748083,9.85,False
ARNT,0.4713423422683106,0.0481915965381625,13.33,False
ARNT2,0.5205598290715236,0.0442768913818192,4.62,False
ASB6,0.4506014567824659,0.053554455086497,13.37,False
ASB7,0.1674449407113789,0.1214526656541917,3.85,False
ASF1A,0.9127948963897508,0.0075130018865083,3.77,False
ASF1B,0.6277294412987215,0.0304007146799178,4.12,False
ASH1L,0.268279577449255,0.087801419629475,3.45,False
ASPM,0.3933404554441048,0.0601720645751935,6.94,False
ASXL1,0.5799152388085387,0.0355602286370509,10.35,False
ASXL2,0.3641615220945169,0.0682853199834531,14.41,False
ATAD2,0.4563330784409395,0.0530953914904296,7.01,False
ATAD5,0.5738386928842205,0.0367405262230617,16.64,False
ATF6B,0.1465256772158742,0.1272855093998572,2.87,False
ATF7,0.6036141226600764,0.0326584284496098,9.32,False
ATF7IP,0.6660500135660729,0.0282382312924315,20.07,False
ATG101,0.6494374906278796,0.0267800322887105,17.15,False
ATG13,0.4545078146578121,0.049945705643337,31.25,False
ATN1,0.5531137208247223,0.0322816755889529,13.6,False
ATP6V1A,0.5703032990841539,0.0367559579330822,22.37,False
ATP6V1D,0.4113394543370592,0.0583543000024876,17.89,False
ATP6V1E1,0.5437917947651192,0.0399868916047499,24.58,False
ATP6V1F,0.4254263553231746,0.0548010062646351,12.42,False
AURKA,0.1758004263429016,0.1148505946717745,4.69,False
AURKB,0.3791816690046079,0.0630352509528892,6.91,False
AUTS2,0.4897268563840934,0.0486304236029139,15.77,False
BACH1,0.2713207707542102,0.0823847765902553,6.82,False
BAP1,0.5824339085690382,0.0362850847247488,15.14,False
BAZ2B,0.6071257077877275,0.0312565933166729,27.4,False
BBS7,0.5578576923169617,0.0376432919824589,30.38,False
BBX,0.4001791491985033,0.0613436095055189,12.61,False
BCAR1,0.6012097219756296,0.032754497037905,20.37,False
BCL10,0.8162548758818474,0.0142556721022984,30.55,False
BCL2L2,0.6830096376517518,0.0238078920725906,22.16,False
BCOR,0.2196579885885435,0.0990774074691778,3.4,False
BCORL1,0.5296560813376,0.0414567119056894,12.28,False
BICD1,0.5262022388619182,0.0424986339411546,20.52,False
BIRC5,0.2065908766154631,0.10509277634907,5.93,False
BMPR1A,0.2148533599387161,0.1003735337211806,6.21,False
BOD1,0.9342418469005728,0.0031290274493529,21.6,False
BORA,0.1742065861249666,0.1115728714506629,2.87,False
BORCS7,1.3049637128679934,-0.0148163624556362,31.13,False
BRCA1,0.4781170850548107,0.0485330961652934,15.23,False
BRCA2,0.5149036727429045,0.0438626954658066,10.84,False
BRD1,0.7505932850380703,0.0194526541099049,32.41,False
BRD2,0.279516691584548,0.0842159305359824,11.49,False
BRD8,0.5075056586321475,0.0435886368388983,24.51,False
BRF1,0.4965415249078239,0.0435293808487909,25.51,False
BRPF3,0.6793327710534803,0.0254076363136397,25.33,False
