gene,degradomics_gene,WT_UT1_ratio,WT_UT2_ratio,WT_UT5h1_ratio,WT_UT5h2_ratio,WT_UT10h1_ratio,WT_UT10h2_ratio,WT_UT15h1_ratio,WT_UT15h2_ratio
UBR3,UBR3,0.9984403390612558,1.001559660938744,0.49637536283769107,0.48946305046908,0.3843019594194931,0.37298622094540107,0.31639624394057114,0.34987000585133654
CHD7,CHD7,0.9972809943334576,1.0027190056665423,0.8788997730361481,0.8254392712282232,0.7028148230653513,0.6967965231393388,0.5293868460731702,0.5517023148162057
TDRD3,TDRD3,1.0347121615518486,0.9652878384481516,1.0600275423411174,1.0576142937904,1.0051156919200508,1.018676712605863,1.1648696910563086,1.136419440049754
SMARCA5,SMARCA5,1.0079300520983272,0.9920699479016727,0.8505099815204482,0.821898861987697,0.8052929861274438,0.8744118702889517,0.8163301299195325,0.8061252971956335
BCL9,BCL9,1.0267424945832888,0.9732575054167112,0.7626516999770505,0.800405398709416,0.7025404660094111,0.7562035156998262,0.6552544853155724,0.5478433947837342
DCP1A,DCP1A,1.012541755074505,0.9874582449254952,0.9793253021299159,1.055313048542125,1.056429102342868,1.047640329669305,0.9981352727892847,0.9422816661134635
COL14A1,COL14A1,1.0026174648665735,0.9973825351334263,0.8346412869359767,0.758286557040724,0.6848588937286505,0.7084350916150569,0.6217768513884604,0.6620600664173109
MCRIP2,MCRIP2,1.1430115336970306,0.8569884663029695,1.0464613090903516,0.7075542128891326,0.8174900285312243,1.0171031460586657,0.913198352625916,0.9776872541768403
BLM,BLM,0.9835746173834381,1.0164253826165617,0.8384303885226312,0.7942544928139942,0.6889354104067063,0.6965687434681842,0.561346489909693,0.5896729693401381
BANF1,BANF1,0.9992936454034365,1.0007063545965638,1.0559974711692925,1.1343623455530099,1.0635041468318969,1.0458193637356528,1.1648925693607493,1.1751907826305215
RAI1,RAI1,0.9871753261962537,1.0128246738037463,0.9471586019368874,0.8915263395785334,0.92325263615158,0.9697074442800796,0.8332489735736809,0.8854032729637386
TAB2,TAB2,0.9750367018284609,1.024963298171539,1.0352761658975034,0.8810068654176437,0.9638747321424145,0.8434256165584961,0.8746906583751136,0.8262227862932142
SMARCA1,SMARCA1,0.9959822377956199,1.0040177622043802,0.8601277951924997,0.8232729470820619,0.7697583230448383,0.7939839724613875,0.7160964098779774,0.7037626899736287
TLE4,TLE4,0.9885754276127735,1.0114245723872264,0.944678149264551,0.8960095118465906,0.8156369352442979,0.8167582493553451,0.7889371516625713,0.7908456198401724
ISL1,ISL1,1.0621874350101677,0.9378125649898322,0.5278886181480286,0.530499548010652,0.3840751719453677,0.34965002283448543,0.25570741969034305,0.24355406294325088
TET1,TET1,0.9895302909545814,1.0104697090454187,0.6280579698544492,0.5933434898985865,0.5234385491511908,0.46412004103039217,0.3743344327816272,0.42375348588429035
OTUD4,OTUD4,1.0017392104364904,0.9982607895635096,1.0442554685866283,1.013658085268924,1.0533839122065882,1.067894887170237,1.0486342068047667,1.0408838777752538
N4BP2L2,N4BP2L2,1.040161145086309,0.959838854913691,0.5424684968232393,0.4711007256087396,0.5160025120651437,0.44038169203831967,0.6084612479239347,0.5921974539389655
LRCH3,LRCH3,0.9501673246850693,1.049832675314931,0.8455235758547663,0.8739046702487527,0.7422289494022377,0.7594823334545423,0.7255993339028227,0.7615696490006448
LARP1B,LARP1B,0.998134918673218,1.001865081326782,0.8099031072525923,0.8673150442034036,0.8411153476697318,0.8252373341942291,0.8778333282872672,0.7348677473701449
TNPO1,TNPO1,1.0157672338763568,0.9842327661236433,0.9534811942158123,0.9743234276103508,0.9188556021327651,0.9093200265409663,0.9682674450679852,0.9563059256074301
MACROH2A1,H2AFY,1.011765303317539,0.9882346966824609,1.0109328519723366,0.9506898375698937,0.8488029924876722,0.9490892489759617,0.9083558902751089,0.8950345388650568
