Gene,k,t_half,slope_p,r2,percentile_vs_proteome,slope_q,decay_is_real,faster_than_proteome,significant,evidence
UBR3,0.07130524582871679,9.720844132912221,0.0006483042828009494,0.8745552075369329,93.50055603608057,0.00182335579537767,True,True,True,measured (crosses 50% inside the assay)
CHD7,0.040853249974223134,16.96675738153746,1.9003989625965446e-06,0.9817889301139292,82.93587050537502,2.8505984438948168e-05,True,True,True,extrapolated (still >50% at 15 h)
TDRD3,-0.007543885966495619,inf,0.04262443491175452,0.5230108312970044,4.621277647349562,0.05328054363969315,False,False,False,extrapolated (still >50% at 15 h)
SMARCA5,0.012478647355160579,55.546659892852276,0.013541065992505605,0.6655647672901865,47.96737921660694,0.02343646037164432,True,False,False,extrapolated (still >50% at 15 h)
BCL9,0.0321025219483155,21.59167375310576,0.00043341747464505087,0.8900752466901845,76.93068083528976,0.0013931275970733778,True,False,False,extrapolated (still >50% at 15 h)
DCP1A,0.0011499186139809629,602.7793377135649,0.6907472203334931,0.028248605431709033,17.49660200172989,0.722874998023423,False,False,False,extrapolated (still >50% at 15 h)
COL14A1,0.02928490585299621,23.669093697599433,0.00015198778413381603,0.92214540906686,74.63239836896084,0.0006217682078201565,True,False,False,extrapolated (still >50% at 15 h)
MCRIP2,0.0016214110257761131,427.49627919185997,0.8820332217500814,0.003979436018887561,18.645743234894354,0.8820332217500814,False,False,False,extrapolated (still >50% at 15 h)
BLM,0.03643624350495701,19.02356318553106,4.5672090511526014e-07,0.9886677659031332,80.04448288644508,2.0552440730186706e-05,True,True,True,extrapolated (still >50% at 15 h)
BANF1,-0.008679930471896797,inf,0.015303397515040026,0.6524435086119733,3.941677993327567,0.02550566252506671,False,False,False,extrapolated (still >50% at 15 h)
RAI1,0.008534153181842507,81.22038189268781,0.019891400794021203,0.6227206855405858,37.563326331397505,0.029869959855502726,True,False,False,extrapolated (still >50% at 15 h)
TAB2,0.010875132196892918,63.73689698760453,0.037058721816257016,0.5428720056817987,43.91449400716669,0.04764692804947331,True,False,False,extrapolated (still >50% at 15 h)
SMARCA1,0.022029440841709408,31.464583488091815,3.3334081737221486e-05,0.9528585971342945,65.79760286667491,0.0002142905254535667,True,False,False,extrapolated (still >50% at 15 h)
TLE4,0.016542546074830466,41.90087652919225,7.352778857860555e-05,0.9387478238878009,56.76510564685531,0.00036763894289302775,True,False,False,extrapolated (still >50% at 15 h)
ISL1,0.09051722230784333,7.657627608175996,4.986481866559222e-06,0.9749039880027853,96.688496231311,5.6097920998791244e-05,True,True,True,measured (crosses 50% inside the assay)
TET1,0.0595114142367524,11.647298076339096,9.75247985287315e-05,0.932754112762476,90.51031755838379,0.00043886159337929175,True,True,True,measured (crosses 50% inside the assay)
OTUD4,-0.0032351272031909102,inf,0.02391813394970372,0.6004657145407477,8.73594464351909,0.03471987186247314,False,False,False,extrapolated (still >50% at 15 h)
N4BP2L2,0.03174817461022738,21.83266247807061,0.11747754723614227,0.3574559926293734,76.55999011491413,0.13911814804280007,False,False,False,extrapolated (still >50% at 15 h)
LRCH3,0.020425662211526377,33.93511423922385,0.0010552495201298596,0.8528868000877345,63.647596688496236,0.002638123800324649,True,False,False,extrapolated (still >50% at 15 h)
LARP1B,0.013269964370325795,52.23429100608261,0.028617996462854175,0.5776899935988807,49.69726924502657,0.037876760024365824,True,False,False,extrapolated (still >50% at 15 h)
TNPO1,0.0033606408500204002,206.254464994597,0.14939115700640282,0.31293715556285,23.192882738168787,0.16806505163220317,False,False,False,extrapolated (still >50% at 15 h)
MACROH2A1,0.007971074113362243,86.9578140539421,0.02767704524919326,0.5820196084438786,36.068207092549116,0.037741425339808995,True,False,False,extrapolated (still >50% at 15 h)
FRG1,0.013132417946915755,52.78138293814629,0.007591081028281563,0.7216279310473478,49.45014209810948,0.01423327692802793,True,False,False,extrapolated (still >50% at 15 h)
GPHN,0.00163217954370839,424.67581659863333,0.17076136871180217,0.2874498232905359,18.670455949586064,0.18742101443978287,False,False,False,extrapolated (still >50% at 15 h)
TMPO,0.0102639841144651,67.53198103483895,0.0004790542436647599,0.8864025674601836,42.5552946991227,0.0014371627309942797,True,False,False,extrapolated (still >50% at 15 h)
RBM6,0.005778568449738748,119.95136625772474,0.0018431834912737218,0.8235786748394015,30.26071913999753,0.004147162855365874,True,False,False,extrapolated (still >50% at 15 h)
EIF3G,-0.00890095724954132,inf,0.0025003037446725894,0.8052333508440456,3.830470777214877,0.005114257659557569,False,False,False,extrapolated (still >50% at 15 h)
UFD1,0.04279081377795409,16.198504290120702,1.0431952298968734e-06,0.9850826956362916,84.03558630915606,2.347189267267965e-05,True,True,True,extrapolated (still >50% at 15 h)
POLE,0.047686240306240524,14.535580412893982,0.0002660525087368733,0.9063699524993116,86.27208698875572,0.0009209509917814845,True,True,True,measured (crosses 50% inside the assay)
MVB12A,0.025423738493296547,27.26377872171344,0.0020730145298121813,0.8167161369297931,70.45594958606203,0.004442173992454675,True,False,False,extrapolated (still >50% at 15 h)
GCFC2,-0.000455505855233398,inf,0.7430737335605971,0.01926536327482744,13.653774867169158,0.7599617729597017,False,False,False,extrapolated (still >50% at 15 h)
CCHCR1,0.09096040044388731,7.620318041448617,0.0011735908697075588,0.8476940430930878,96.75027801804029,0.0027795573229915864,True,True,True,measured (crosses 50% inside the assay)
H4C1,-0.008596296928106253,inf,0.3627828542537405,0.13913087826839682,3.966390708019276,0.3886959152718648,False,False,False,extrapolated (still >50% at 15 h)
CSTF2T,0.007271096170985301,95.32911740679361,0.00517120664999594,0.75379769043963,34.17768441863339,0.010117578228252927,True,False,False,extrapolated (still >50% at 15 h)
NCOA2,0.019752647014387458,35.09135661944801,6.138996921699292e-05,0.9422959789165114,62.58494995675275,0.0003453185768455852,True,False,False,extrapolated (still >50% at 15 h)
TNRC6B,0.012223975732303315,56.70390679263385,0.00019549208195477144,0.9154074275744442,47.36191770666008,0.0007330953073303929,True,False,False,extrapolated (still >50% at 15 h)
PSPC1,0.017474849750737452,39.665415751611484,3.11526413465806e-05,0.9539039562926738,58.556777462004206,0.0002142905254535667,True,False,False,extrapolated (still >50% at 15 h)
GIGYF2,0.003961844628357555,174.95566979043807,0.1442797103113089,0.3194942228840231,24.823921907821575,0.16647658882074104,False,False,False,extrapolated (still >50% at 15 h)
H2AC18,0.052588678324599604,13.180540044789625,1.3085670360392524e-05,0.9654264124879487,88.1749660200173,0.0001177710332435327,True,True,True,measured (crosses 50% inside the assay)
KHDRBS1,0.019404438345538857,35.72106382142733,0.0008778860707131244,0.8614707925560506,61.95477573211417,0.002323816069534741,True,False,False,extrapolated (still >50% at 15 h)
FTSJ3,-0.007375021840771331,inf,0.01991330657033515,0.6225911954907026,4.769553935499815,0.029869959855502726,False,False,False,extrapolated (still >50% at 15 h)
H2BC13,0.007623679399701693,90.92029507262168,0.027271201484237482,0.58392013683864,35.09205486222662,0.037741425339808995,True,False,False,extrapolated (still >50% at 15 h)
UBAP2,0.0034204274501027803,202.64928599468377,0.07590395572144117,0.4334091545323853,23.31644631162733,0.0923156218233744,False,False,False,extrapolated (still >50% at 15 h)
NCOA1,0.020802544909721877,33.32030689360557,0.01653075078267229,0.6439284662940832,64.30248362782652,0.026567278043580465,True,False,False,extrapolated (still >50% at 15 h)
UBAP2L,0.009455084916329048,73.30946117288397,0.008268699549722256,0.7139400163936803,40.35586309156061,0.014883659189500062,True,False,False,extrapolated (still >50% at 15 h)
