gene,wt_rank,WT_293T_log2diff,cellular_role,n_terms,n_specific_terms,n_pathway_modules,pathway_modules,gene_module,n_mutual_partners,mutual_partners,specific_terms
H2AC6,12,8.75220807393392,Histones & chromatin,34,13,3,1;2;3,1,10,BCL9;H2BC13;H3-7;MACROH2A1;NCOA1;NCOA2;SMARCA5;TLE4;TNRC6B;TNRC6C,Estrogen-dependent gene expression;ESR-mediated signaling;ATP-dependent chromatin remodeling;Systemic lupus erythematosus;Signaling by Nuclear Receptors;Formation of the beta-catenin:TCF transactivating complex;Pre-NOTCH Transcription and Translation;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;structural constituent of chromatin;Signaling by WNT;nucleosome;DNA Repair;Pre-NOTCH Expression and Processing
TNRC6C,33,5.22636477152506,mRNA silencing & translation,37,12,1,1,1,9,DCP1A;GIGYF2;H2AC6;H2BC13;LARP1B;NCOA1;NCOA2;TNRC6B;UBAP2,cytoplasmic ribonucleoprotein granule;Estrogen-dependent gene expression;ESR-mediated signaling;P-body;Signaling by Nuclear Receptors;Pre-NOTCH Transcription and Translation;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux;Signaling by WNT;Post-transcriptional silencing by small RNAs;Pre-NOTCH Expression and Processing;regulation of mRNA stability
TNRC6B,41,3.36459159851075,mRNA silencing & translation,37,12,1,1,1,9,DCP1A;GIGYF2;H2AC6;H2BC13;LARP1B;NCOA1;NCOA2;TNRC6C;UBAP2,cytoplasmic ribonucleoprotein granule;Estrogen-dependent gene expression;ESR-mediated signaling;P-body;Signaling by Nuclear Receptors;Pre-NOTCH Transcription and Translation;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux;Signaling by WNT;Post-transcriptional silencing by small RNAs;Pre-NOTCH Expression and Processing;regulation of mRNA stability
H2BC13,47,2.40391095479329,Histones & chromatin,27,12,3,1;2;3,1,9,BCL9;H2AC6;H3-7;MACROH2A1;NCOA1;NCOA2;TLE4;TNRC6B;TNRC6C,Estrogen-dependent gene expression;ESR-mediated signaling;Systemic lupus erythematosus;Signaling by Nuclear Receptors;Formation of the beta-catenin:TCF transactivating complex;Pre-NOTCH Transcription and Translation;RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function;structural constituent of chromatin;Signaling by WNT;nucleosome;DNA Repair;Pre-NOTCH Expression and Processing
SMARCA5,5,9.95832252502441,Chromatin remodeling / DNA modification,36,9,1,2,3,7,BLM;CHD7;H2AC6;MACROH2A1;POLE;SMARCA1;TET1,"CERF complex;ATP-dependent chromatin remodeler activity;ATP-dependent chromatin remodeling;catalytic activity, acting on DNA;NURF complex;nucleosome array spacer activity;nuclear chromosome;histone octamer slider activity;DNA Repair"
SMARCA1,15,8.52735455830892,Chromatin remodeling / DNA modification,30,7,1,2,3,2,CHD7;SMARCA5,"CERF complex;ATP-dependent chromatin remodeler activity;ATP-dependent chromatin remodeling;catalytic activity, acting on DNA;NURF complex;nucleosome array spacer activity;histone octamer slider activity"
NCOA1,49,1.94080988566081,Transcription & coregulators,30,6,1,1,1,5,H2AC6;H2BC13;NCOA2;TNRC6B;TNRC6C,Estrogen-dependent gene expression;ESR-mediated signaling;Signaling by Nuclear Receptors;cellular response to Thyroglobulin triiodothyronine;NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux;SRC-1 complex
NCOA2,40,3.38048299153646,Transcription & coregulators,33,5,1,1,1,5,H2AC6;H2BC13;NCOA1;TNRC6B;TNRC6C,Estrogen-dependent gene expression;ESR-mediated signaling;Signaling by Nuclear Receptors;cellular response to Thyroglobulin triiodothyronine;SRC-1 complex
MACROH2A1,25,6.85123125712077,Histones & chromatin,31,5,2,2;3,4,4,H2AC6;H2BC13;H3-7;SMARCA5,ATP-dependent chromatin remodeling;Systemic lupus erythematosus;nuclear chromosome;structural constituent of chromatin;nucleosome
BLM,10,8.9068431854248,DNA replication & repair,26,3,1,2,3,3,POLE;SMARCA5;TET1,"catalytic activity, acting on DNA;nuclear chromosome;DNA Repair"
DCP1A,7,9.02884292602539,mRNA silencing & translation,23,3,1,1,2,5,GIGYF2;LARP1B;TNRC6B;TNRC6C;UBAP2,cytoplasmic ribonucleoprotein granule;P-body;regulation of mRNA stability
GIGYF2,43,3.07853190104167,mRNA silencing & translation,23,3,1,1,2,6,DCP1A;LARP1B;MCRIP2;TNRC6B;TNRC6C;UBAP2L,cytoplasmic ribonucleoprotein granule;cytoplasmic stress granule;regulation of mRNA stability
LARP1B,22,7.48213068644206,mRNA silencing & translation,22,3,1,1,2,6,DCP1A;GIGYF2;MCRIP2;TNRC6B;TNRC6C;UBAP2L,cytoplasmic ribonucleoprotein granule;cytoplasmic stress granule;regulation of mRNA stability
H3-7,4,10.2500254313151,Histones & chromatin,18,3,1,3,4,3,H2AC6;H2BC13;MACROH2A1,Systemic lupus erythematosus;structural constituent of chromatin;nucleosome
POLE,32,5.39824930826823,DNA replication & repair,18,3,1,2,3,3,BLM;SMARCA5;TET1,"catalytic activity, acting on DNA;nuclear chromosome;DNA Repair"
TET1,18,7.78449376424154,Chromatin remodeling / DNA modification,28,2,1,2,3,3,BLM;POLE;SMARCA5,"catalytic activity, acting on DNA;nuclear chromosome"
CHD7,2,13.0319658915202,Chromatin remodeling / DNA modification,25,2,1,2,3,2,SMARCA1;SMARCA5,"ATP-dependent chromatin remodeler activity;catalytic activity, acting on DNA"
TLE4,16,8.26568222045898,Transcription & coregulators,21,2,2,1;3,1,3,BCL9;H2AC6;H2BC13,Formation of the beta-catenin:TCF transactivating complex;Signaling by WNT
BCL9,6,9.91209475199382,Transcription & coregulators,19,2,2,1;3,1,3,H2AC6;H2BC13;TLE4,Formation of the beta-catenin:TCF transactivating complex;Signaling by WNT
UBAP2,48,1.9598445892334,Ubiquitin & proteostasis,14,2,1,1,2,3,DCP1A;TNRC6B;TNRC6C,cytoplasmic ribonucleoprotein granule;P-body
UBAP2L,50,1.82997767130534,Ubiquitin & proteostasis,12,2,1,1,2,3,GIGYF2;LARP1B;MCRIP2,cytoplasmic ribonucleoprotein granule;cytoplasmic stress granule
MCRIP2,9,9.00793202718099,Transcription & coregulators,9,2,1,1,2,3,GIGYF2;LARP1B;UBAP2L,cytoplasmic ribonucleoprotein granule;cytoplasmic stress granule
BANF1,11,8.7847048441569,Histones & chromatin,22,1,1,4,0,0,,BAFL-BAF-LAP2beta complex
UFD1,31,5.76611518859863,Ubiquitin & proteostasis,16,1,1,2,0,0,,DNA Repair
TMPO,28,6.7105229695638,Histones & chromatin,11,1,1,4,0,0,,BAFL-BAF-LAP2beta complex
KHDRBS1,45,2.6049690246582,RNA processing & splicing,23,0,0,,0,0,,
ISL1,17,7.79051208496094,Transcription & coregulators,22,0,0,,0,0,,
PSPC1,42,3.20085652669271,RNA processing & splicing,22,0,0,,0,0,,
TDRD3,3,10.3028093973796,Chromatin remodeling / DNA modification,20,0,0,,0,0,,
TAB2,14,8.54893112182617,mTOR & signaling,14,0,0,,0,0,,
FRG1,26,6.78778648376465,RNA processing & splicing,14,0,0,,0,0,,
