source,term_id,term_name,p_value,term_size,query_size,intersection_size,precision,recall,neg_log10_p,genes,n_genes,specific,survives_without_histones,histone_driven,module,module_label
GO:MF,GO:0003676,nucleic acid binding,6.935264871414129e-09,5437,45,34,0.7555555555555555,0.0062534485929740665,8.158936947712991,CHD7;TDRD3;H3-7;SMARCA5;DCP1A;COL14A1;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;OTUD4;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;EIF3G;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,34,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0005654,nucleoplasm,6.459474212743504e-07,4334,45,27,0.6,0.006229810798338717,6.189802831199553,CHD7;TDRD3;H3-7;SMARCA5;BCL9;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,27,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0005634,nucleus,3.149014994921922e-06,10153,45,39,0.8666666666666667,0.0038412291933418692,5.501825271343024,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,39,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0005694,chromosome,5.733872541149109e-06,2010,45,18,0.4,0.008955223880597015,5.241551965259581,CHD7;H3-7;SMARCA5;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;MACROH2A1;TMPO;POLE;NCOA2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,18,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0036464,cytoplasmic ribonucleoprotein granule,1.2232690698679968e-05,264,45,8,0.17777777777777778,0.030303030303030304,4.912478005182669,DCP1A;MCRIP2;LARP1B;TNRC6C;TNRC6B;GIGYF2;UBAP2;UBAP2L,8,True,True,False,1,cytoplasmic ribonucleoprotein granule
GO:CC,GO:0043228,membraneless organelle,0.0001089470761897737,7128,45,31,0.6888888888888889,0.0043490460157126825,3.962784420412549,CHD7;H3-7;SMARCA5;DCP1A;MCRIP2;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;NCOA2;TNRC6B;PSPC1;GIGYF2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,31,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0043232,intracellular membraneless organelle,0.0001089470761897737,7128,45,31,0.6888888888888889,0.0043490460157126825,3.962784420412549,CHD7;H3-7;SMARCA5;DCP1A;MCRIP2;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;NCOA2;TNRC6B;PSPC1;GIGYF2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,31,False,True,False,0,(broad term - not clustered)
GO:CC,GO:0031981,nuclear lumen,0.0002062259311285276,5622,45,27,0.6,0.0048025613660619,3.685656726841223,CHD7;TDRD3;H3-7;SMARCA5;BCL9;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;TET1;TNPO1;MACROH2A1;FRG1;UFD1;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;NCOA1,27,False,True,False,0,(broad term - not clustered)
GO:MF,GO:0003682,chromatin binding,0.00031671673117104486,603,45,10,0.2222222222222222,0.01658374792703151,3.4993289935799976,CHD7;TDRD3;SMARCA5;SMARCA1;TLE4;ISL1;MACROH2A1;POLE;NCOA2;NCOA1,10,False,True,False,0,(broad term - not clustered)
REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.00038831321925907514,147,27,6,0.2222222222222222,0.04081632653061224,3.4108178246134955,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,6,True,False,True,1,cytoplasmic ribonucleoprotein granule
