term_id,term_name,source,term_size,specific,module,module_label,survives_without_histones,WT_p,WT_genes_n,WT_genes,in_RING,RING_p,RING_genes,status
GO:0003676,nucleic acid binding,GO:MF,5437,False,0,(broad term - not clustered),True,6.935264871414129e-09,34,CHD7;TDRD3;H3-7;SMARCA5;DCP1A;COL14A1;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;OTUD4;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;EIF3G;POLE;TNRC6C;GCFC2;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0005634,nucleus,GO:CC,10153,False,0,(broad term - not clustered),True,3.149014994921922e-06,39,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0005694,chromosome,GO:CC,2010,False,0,(broad term - not clustered),True,5.733872541149109e-06,18,CHD7;H3-7;SMARCA5;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;MACROH2A1;TMPO;POLE;NCOA2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0036464,cytoplasmic ribonucleoprotein granule,GO:CC,264,True,1,cytoplasmic ribonucleoprotein granule,True,1.2232690698679968e-05,8,DCP1A;MCRIP2;LARP1B;TNRC6C;TNRC6B;GIGYF2;UBAP2;UBAP2L,False,,,WT-exclusive
GO:0043228,membraneless organelle,GO:CC,7128,False,0,(broad term - not clustered),True,0.0001089470761897737,31,CHD7;H3-7;SMARCA5;DCP1A;MCRIP2;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;NCOA2;TNRC6B;PSPC1;GIGYF2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0043232,intracellular membraneless organelle,GO:CC,7128,False,0,(broad term - not clustered),True,0.0001089470761897737,31,CHD7;H3-7;SMARCA5;DCP1A;MCRIP2;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;NCOA2;TNRC6B;PSPC1;GIGYF2;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0003682,chromatin binding,GO:MF,603,False,0,(broad term - not clustered),True,0.00031671673117104486,10,CHD7;TDRD3;SMARCA5;SMARCA1;TLE4;ISL1;MACROH2A1;POLE;NCOA2;NCOA1,False,,,WT-exclusive
REAC:R-HSA-9018519,Estrogen-dependent gene expression,REAC,147,True,1,cytoplasmic ribonucleoprotein granule,False,0.00038831321925907514,6,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,False,,,WT-exclusive
GO:0035770,ribonucleoprotein granule,GO:CC,773,False,0,(broad term - not clustered),True,0.0006042783924394258,10,DCP1A;MCRIP2;LARP1B;FRG1;TNRC6C;TNRC6B;PSPC1;GIGYF2;UBAP2;UBAP2L,False,,,WT-exclusive
GO:0000785,chromatin,GO:CC,1409,False,0,(broad term - not clustered),False,0.0006422100331287499,13,CHD7;H3-7;SMARCA5;BANF1;H2AC6;SMARCA1;ISL1;TET1;MACROH2A1;TMPO;NCOA2;H2BC13;NCOA1,False,,,WT-exclusive
GO:0003677,DNA binding,GO:MF,2540,False,0,(broad term - not clustered),False,0.0016603065427700972,18,CHD7;H3-7;SMARCA5;BLM;BANF1;H2AC6;SMARCA1;ISL1;TET1;MACROH2A1;TMPO;RBM6;POLE;GCFC2;NCOA2;KHDRBS1;H2BC13;NCOA1,False,,,WT-exclusive
REAC:R-HSA-8939211,ESR-mediated signaling,REAC,215,True,1,cytoplasmic ribonucleoprotein granule,False,0.0035132608774168764,6,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,False,,,WT-exclusive
GO:0010604,positive regulation of macromolecule metabolic process,GO:BP,3152,False,0,(broad term - not clustered),True,0.005455245164406336,19,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;TAB2;SMARCA1;ISL1;TET1;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;GIGYF2;KHDRBS1;NCOA1,False,,,WT-exclusive
GO:0090537,CERF complex,GO:CC,4,True,2,CERF complex,True,0.005486750623776555,2,SMARCA5;SMARCA1,False,,,WT-exclusive
GO:0140658,ATP-dependent chromatin remodeler activity,GO:MF,20,True,2,CERF complex,True,0.00561551440057595,3,CHD7;SMARCA5;SMARCA1,False,,,WT-exclusive
KEGG:03082,ATP-dependent chromatin remodeling,KEGG,117,True,2,CERF complex,False,0.00833697170002754,4,SMARCA5;H2AC6;SMARCA1;MACROH2A1,False,,,WT-exclusive
GO:0140097,"catalytic activity, acting on DNA",GO:MF,248,True,2,CERF complex,True,0.008599645440360846,6,CHD7;SMARCA5;BLM;SMARCA1;TET1;POLE,False,,,WT-exclusive
GO:0010494,cytoplasmic stress granule,GO:CC,96,True,1,cytoplasmic ribonucleoprotein granule,True,0.009781728692737489,4,MCRIP2;LARP1B;GIGYF2;UBAP2L,False,,,WT-exclusive
GO:0009892,negative regulation of metabolic process,GO:BP,3276,False,0,(broad term - not clustered),True,0.009800283591753051,19,SMARCA5;DCP1A;BLM;BANF1;H2AC6;TAB2;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,False,,,WT-exclusive
GO:0051254,positive regulation of RNA metabolic process,GO:BP,1804,False,0,(broad term - not clustered),True,0.01122534172973878,14,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;ISL1;TET1;TNRC6C;NCOA2;TNRC6B;GIGYF2;NCOA1,False,,,WT-exclusive
GO:0000932,P-body,GO:CC,100,True,1,cytoplasmic ribonucleoprotein granule,True,0.011478229394279813,4,DCP1A;TNRC6C;TNRC6B;UBAP2,False,,,WT-exclusive
GO:0060255,regulation of macromolecule metabolic process,GO:BP,6392,False,0,(broad term - not clustered),True,0.01160038979985515,27,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;UBAP2;NCOA1,False,,,WT-exclusive
GO:0051252,regulation of RNA metabolic process,GO:BP,3654,False,0,(broad term - not clustered),True,0.011651535928743743,20,CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;SMARCA1;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;NCOA1,False,,,WT-exclusive
GO:0060090,molecular adaptor activity,GO:MF,1334,False,0,(broad term - not clustered),True,0.011936041202465206,12,TDRD3;BCL9;COL14A1;TAB2;TLE4;OTUD4;N4BP2L2;GPHN;NCOA2;GIGYF2;KHDRBS1;NCOA1,False,,,WT-exclusive
KEGG:05322,Systemic lupus erythematosus,KEGG,136,True,3,Systemic lupus erythematosus,False,0.01490769354348306,4,H3-7;H2AC6;MACROH2A1;H2BC13,False,,,WT-exclusive
GO:0005515,protein binding,GO:MF,15082,False,0,(broad term - not clustered),True,0.015081948710696083,44,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LRCH3;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;RBM6;EIF3G;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0010558,negative regulation of macromolecule biosynthetic process,GO:BP,2733,False,0,(broad term - not clustered),False,0.015846188871769622,17,SMARCA5;DCP1A;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,False,,,WT-exclusive
GO:0009893,positive regulation of metabolic process,GO:BP,3410,False,0,(broad term - not clustered),True,0.017881690537403804,19,UBR3;CHD7;TDRD3;SMARCA5;BCL9;DCP1A;BLM;TAB2;SMARCA1;ISL1;TET1;LARP1B;MACROH2A1;TNRC6C;NCOA2;TNRC6B;GIGYF2;KHDRBS1;NCOA1,False,,,WT-exclusive
GO:0010605,negative regulation of macromolecule metabolic process,GO:BP,3080,False,0,(broad term - not clustered),False,0.018105222740682363,18,SMARCA5;DCP1A;BLM;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,False,,,WT-exclusive
REAC:R-HSA-9006931,Signaling by Nuclear Receptors,REAC,289,True,1,cytoplasmic ribonucleoprotein granule,False,0.01868046707863393,6,H2AC6;TNRC6C;NCOA2;TNRC6B;H2BC13;NCOA1,False,,,WT-exclusive
GO:0016589,NURF complex,GO:CC,7,True,2,CERF complex,True,0.019129201948906546,2,SMARCA5;SMARCA1,False,,,WT-exclusive
GO:0005622,intracellular anatomical structure,GO:CC,18007,False,0,(broad term - not clustered),True,0.019984933555349894,45,UBR3;CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LRCH3;LARP1B;TNPO1;MACROH2A1;FRG1;GPHN;TMPO;RBM6;EIF3G;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
REAC:R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,REAC,90,True,3,Systemic lupus erythematosus,False,0.02067771413277896,4,BCL9;H2AC6;TLE4;H2BC13,False,,,WT-exclusive
GO:1904017,cellular response to Thyroglobulin triiodothyronine,GO:BP,3,True,1,cytoplasmic ribonucleoprotein granule,True,0.021724461858901617,2,NCOA2;NCOA1,False,,,WT-exclusive
GO:0009890,negative regulation of biosynthetic process,GO:BP,2802,False,0,(broad term - not clustered),False,0.022208571629771953,17,SMARCA5;DCP1A;BANF1;H2AC6;TLE4;ISL1;TET1;N4BP2L2;LARP1B;MACROH2A1;UFD1;TNRC6C;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1,False,,,WT-exclusive
REAC:R-HSA-1912408,Pre-NOTCH Transcription and Translation,REAC,92,True,1,cytoplasmic ribonucleoprotein granule,False,0.022536269182820767,4,H2AC6;TNRC6C;TNRC6B;H2BC13,False,,,WT-exclusive
GO:0140750,nucleosome array spacer activity,GO:MF,5,True,2,CERF complex,True,0.02366793502607202,2,SMARCA5;SMARCA1,False,,,WT-exclusive
GO:0000228,nuclear chromosome,GO:CC,234,True,2,CERF complex,False,0.024779355304528506,5,SMARCA5;BLM;TET1;MACROH2A1;POLE,False,,,WT-exclusive
REAC:R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,REAC,95,True,1,cytoplasmic ribonucleoprotein granule,False,0.025548817696025,4,H2AC6;TNRC6C;TNRC6B;H2BC13,False,,,WT-exclusive
GO:0003723,RNA binding,GO:MF,3099,False,0,(broad term - not clustered),True,0.026969148291913592,18,TDRD3;DCP1A;COL14A1;OTUD4;LARP1B;TNPO1;FRG1;RBM6;EIF3G;TNRC6C;CSTF2T;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;UBAP2;UBAP2L,False,,,WT-exclusive
REAC:R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,REAC,36,True,1,cytoplasmic ribonucleoprotein granule,True,0.029103656587006577,3,TNRC6C;TNRC6B;NCOA1,False,,,WT-exclusive
GO:0043231,intracellular membrane-bounded organelle,GO:CC,14817,False,0,(broad term - not clustered),False,0.03379356290693602,41,CHD7;TDRD3;H3-7;SMARCA5;BCL9;DCP1A;COL14A1;MCRIP2;BLM;BANF1;H2AC6;TAB2;SMARCA1;TLE4;ISL1;TET1;OTUD4;N4BP2L2;LARP1B;TNPO1;MACROH2A1;FRG1;TMPO;RBM6;UFD1;POLE;TNRC6C;MVB12A;GCFC2;CCHCR1;CSTF2T;NCOA2;TNRC6B;PSPC1;GIGYF2;KHDRBS1;FTSJ3;H2BC13;UBAP2;NCOA1;UBAP2L,False,,,WT-exclusive
GO:0140751,histone octamer slider activity,GO:MF,6,True,2,CERF complex,True,0.03545155650334508,2,SMARCA5;SMARCA1,False,,,WT-exclusive
GO:0030527,structural constituent of chromatin,GO:MF,101,True,3,Systemic lupus erythematosus,False,0.03667795110371758,4,H3-7;H2AC6;MACROH2A1;H2BC13,False,,,WT-exclusive
REAC:R-HSA-195721,Signaling by WNT,REAC,327,True,1,cytoplasmic ribonucleoprotein granule,False,0.037041023294232325,6,BCL9;H2AC6;TLE4;TNRC6C;TNRC6B;H2BC13,False,,,WT-exclusive
