gene,WT_293T_q,WT_293T_d,RING_293T_q,RING_293T_d,RING_WT_p,RING_WT_q,RING_WT_d,RING_vs_WT_class
CHD7,0.00212242492474641,13.0319658915202,0.738945427251781,1.74267514546712,0.00351438816770521,0.0395717851165468,-11.2892907460531,WT-preferring (RING-dependent binding)
TDRD3,0.00325662967335418,10.3028093973796,,0.0,4.96197369898109e-05,0.00173432795002482,-10.3028093973796,WT-preferring (RING-dependent binding)
H3-7,0.000410389013903394,10.2500254313151,,0.0,2.08319296397662e-06,0.000305812727111768,-10.2500254313151,WT-preferring (RING-dependent binding)
SMARCA5,0.0448684956290936,9.95832252502441,0.992134747680594,-0.193113327026367,0.00109440001457725,0.0168522295950986,-10.1514358520508,WT-preferring (RING-dependent binding)
BCL9,0.00795570585166272,9.91209475199382,,0.0,0.00019825016889238,0.00485052079890023,-9.91209475199382,WT-preferring (RING-dependent binding)
BLM,0.0140698551140717,8.9068431854248,0.738945427251781,-0.670059204101563,4.43126605040934e-05,0.00159961440049203,-9.57690238952637,WT-preferring (RING-dependent binding)
MCRIP2,0.00260250308383997,9.00793202718099,,0.0,3.3567023303145e-05,0.00141718107287243,-9.00793202718099,WT-preferring (RING-dependent binding)
H2AC6,0.000157707427805015,8.75220807393392,,0.0,3.63884235821447e-07,0.000160254617455765,-8.75220807393392,WT-preferring (RING-dependent binding)
RAI1,0.00790481772702275,8.7039311726888,,0.0,0.00018364081748354,0.00457430270869982,-8.7039311726888,WT-preferring (RING-dependent binding)
TAB2,0.000252437534627314,8.54893112182617,,0.0,1.02562455760125e-06,0.000250936141759772,-8.54893112182617,WT-preferring (RING-dependent binding)
SMARCA1,0.00194422360551158,8.52735455830892,,0.0,1.5252331007705e-05,0.00101284800192884,-8.52735455830892,WT-preferring (RING-dependent binding)
TLE4,0.000398767808471123,8.26568222045898,,0.0,1.84018370314316e-06,0.000305812727111768,-8.26568222045898,WT-preferring (RING-dependent binding)
ISL1,0.000252437534627314,7.79051208496094,,0.0,8.71065532134189e-07,0.000250936141759772,-7.79051208496094,WT-preferring (RING-dependent binding)
TET1,0.000111926217018754,7.78449376424154,,0.0,1.81260452489904e-07,0.000160254617455765,-7.78449376424154,WT-preferring (RING-dependent binding)
DCP1A,0.000170854137984285,9.02884292602539,0.738945427251781,1.29690297444661,0.00407394006249581,0.0444099802852266,-7.73193995157878,WT-preferring (RING-dependent binding)
OTUD4,0.0030087284114312,7.6890926361084,,0.0,4.29549960291784e-05,0.00157644835427085,-7.6890926361084,WT-preferring (RING-dependent binding)
RBM6,0.0273405248864379,6.17563311258952,0.738945427251781,-1.24171765645345,0.00122524474511017,0.0178874788058873,-7.41735076904297,WT-preferring (RING-dependent binding)
CLECL1P,0.00231149775400165,7.06810188293457,,0.0,2.52608717483382e-05,0.00118349871467746,-7.06810188293457,WT-preferring (RING-dependent binding)
BANF1,4.04861635574828e-07,8.7847048441569,0.738945427251781,1.79522641499837,0.0176440850956783,0.121479693735498,-6.98947842915853,WT-preferring (RING-dependent binding)
MACROH2A1,0.00204595877400957,6.85123125712077,,0.0,1.79387248298024e-05,0.00101284800192884,-6.85123125712077,WT-preferring (RING-dependent binding)
GPHN,0.00201406399795753,6.74012629191081,,0.0,1.67296501906947e-05,0.00101284800192884,-6.74012629191081,WT-preferring (RING-dependent binding)
