query,library,term,p_value,adj_p_value,n_genes,genes
UBR3ring (38),ChEA_2022,E2F1 26619117 ChIP-Seq Hepatocytes Mouse Liver,1.924337832822015e-10,1.1680730645229632e-07,22,FANCI;SDF2L1;GTF3C5;NDUFB10;TBCD;TSC2;THOC3;FANCB;HAUS5;AAAS;FTSJ3;BAG6;SART1;CDC23;CDC45;AP1G2;HOOK1;STT3A;RNPS1;POLE;TELO2;CEP78
UBR3ring (38),ChEA_2022,KDM5B 21448134 ChIP-Seq MESCs Mouse,2.6470164917316815e-06,0.0008033695052405654,18,FANCI;COL14A1;NCAPG2;TBCD;UBR3;THOC3;FTSJ3;RPTOR;POLR3A;CDC23;CDC45;AP1G2;HOOK1;STT3A;RNPS1;KNTC1;POLE;CEP78
UBR3ring (38),ChEA_2022,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,9.817886330563774e-06,0.001986485667550737,19,PLEKHG4;SDF2L1;GTF3C5;NDUFB10;COL14A1;BRAT1;TBCD;HAUS5;AAAS;ELP6;BAG6;GCFC2;POLR3A;AP1G2;HOOK1;RNPS1;LRCH3;POLE;TELO2
UBR3ring (38),ChEA_2022,MYC 19030024 ChIP-ChIP MESCs Mouse,0.00011324760551528771,0.015607650393422396,15,FANCI;SDF2L1;GTF3C5;AAAS;FTSJ3;SART1;POLR3A;CDC23;BAG2;STT3A;RNPS1;KNTC1;PPIL3;POLE;TELO2
UBR3ring (38),ChEA_2022,YY1 33199912 ChIP-Seq 293T Human KidneyEmbryo,0.00013307073505883511,0.015607650393422396,17,FANCI;PLEKHG4;NDUFB10;TBCD;UBR3;THOC3;FANCB;HAUS5;ELP6;FTSJ3;RPTOR;GCFC2;SART1;CDC23;HOOK1;LRCH3;CEP78
UBR3ring (38),ChEA_2022,CHD1 19587682 ChIP-ChIP MESCs Mouse,0.00015427661014915054,0.015607650393422396,7,HOOK1;KNTC1;FANCB;PPIL3;AAAS;FTSJ3;CEP78
UBR3ring (38),ChEA_2022,JUN 27471255 ChIP-Seq Chondrocytes Mouse Rib,0.00021555806763452317,0.01668294817915827,18,FANCI;SDF2L1;NDUFB10;MPG;BRAT1;TBCD;UBR3;THOC3;HAUS5;AAAS;RPTOR;BAG2;STT3A;KNTC1;PPIL3;POLE;TELO2;CEP78
UBR3ring (38),ChEA_2022,JARID1A 20064375 ChIP-Seq MESCs Mouse,0.0002198741110926955,0.01668294817915827,11,SART1;POLR3A;CDC23;GTF3C5;NDUFB10;STT3A;TSC2;THOC3;PPIL3;AAAS;FTSJ3
UBR3ring (38),ChEA_2022,RXRA 24833708 ChIP-Seq LIVER Mouse,0.0002568012227763808,0.017319815802807018,10,SDF2L1;POLR3A;CDC45;AP1G2;BAG2;COL14A1;TBCD;RNPS1;AAAS;LRCH3
UBR3ring (38),ChEA_2022,OLIG2 29049317 ChIP-Seq Mouse SpinalCord,0.0003172970318040256,0.019259929830504355,10,RPTOR;SDF2L1;CDC45;GTF3C5;BRAT1;TBCD;RNPS1;MAGED2;HAUS5;ELP6
