query,library,term,p_value,adj_p_value,combined_score,n_genes,genes
UBR3ring (38),CORUM,Spliceosome (human),0.00014903868400671587,0.0041730831521880445,148.9,4,SART1;THOC3;RNPS1;PPIL3
UBR3ring (38),CORUM,TSC1-TSC2 complex (human),0.003796428354800008,0.022631793327592936,3006.9,1,TSC2
UBR3ring (38),CORUM,"mTOR-signaling complex (mTOR/FRAP1, RAPTOR) (human)",0.003796428354800008,0.022631793327592936,3006.9,1,RPTOR
UBR3ring (38),CORUM,"Apoptosis- and splicing-associated protein complex (ASAP-S), SAP18-RNPS1-Acinus-S (human)",0.005689387732894645,0.022631793327592936,1394.3,1,RNPS1
UBR3ring (38),CORUM,mTOR-RAPTOR complex (human),0.005689387732894645,0.022631793327592936,1394.3,1,RPTOR
UBR3ring (38),CORUM,Condensin II (human),0.009464811895936884,0.022631793327592936,628.4,1,NCAPG2
UBR3ring (38),CORUM,Splicing-associated factors complex (human),0.009464811895936884,0.022631793327592936,628.4,1,RNPS1
UBR3ring (38),CORUM,Kif13a-AP1 complex (mouse),0.009464811895936884,0.022631793327592936,628.4,1,AP1G2
UBR3ring (38),CORUM,TFIIIC containing complex (human),0.009464811895936884,0.022631793327592936,628.4,1,GTF3C5
UBR3ring (38),CORUM,C complex spliceosome (human),0.010118819490448853,0.022631793327592936,65.1,2,SART1;PPIL3
UBR3ring (38),CORUM,5S-DNA-TFIIIA-TFIIIC2 subcomplex (human),0.011347288056139465,0.022631793327592936,483.2,1,GTF3C5
UBR3ring (38),CORUM,Oligosaccharyltransferase complex (Stt3A variant) (human),0.011347288056139465,0.022631793327592936,483.2,1,STT3A
UBR3ring (38),CORUM,Postsplicing complex (human),0.013226281560919952,0.022631793327592936,388.8,1,RNPS1
UBR3ring (38),CORUM,TFIIIC containing-TOP1-SUB1 complex (human),0.013226281560919952,0.022631793327592936,388.8,1,GTF3C5
UBR3ring (38),CORUM,TREX complex (human),0.015101798500668919,0.022631793327592936,323.1,1,THOC3
UBR3ring (38),CORUM,Exon junction complex (human),0.015101798500668919,0.022631793327592936,323.1,1,RNPS1
UBR3ring (38),CORUM,AP1 adaptor complex (human),0.015101798500668919,0.022631793327592936,323.1,1,AP1G2
UBR3ring (38),CORUM,Gamma-BAR-AP1 complex (human),0.016973844995694702,0.022631793327592936,274.8,1,AP1G2
UBR3ring (38),CORUM,Anaphase-promoting complex (human),0.016973844995694702,0.022631793327592936,274.8,1,CDC23
UBR3ring (38),CORUM,Anaphase-promoting complex (mouse),0.016973844995694702,0.022631793327592936,274.8,1,CDC23
UBR3ring (38),CORUM,5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex (human),0.016973844995694702,0.022631793327592936,274.8,1,GTF3C5
UBR3ring (38),CORUM,"(ER)-localized multiprotein complex, Ig heavy chains associated (mouse)",0.018842427200939708,0.023981270983014173,238.0,1,SDF2L1
UBR3ring (38),CORUM,FA complex (Fanconi anemia complex) (human),0.020707551273270317,0.02520919285441604,209.1,1,FANCB
UBR3ring (38),CORUM,RC complex during S-phase of cell cycle (human),0.024427449699506693,0.0273587436634475,166.8,1,POLE
UBR3ring (38),CORUM,RC complex during G2/M-phase of cell cycle (human),0.024427449699506693,0.0273587436634475,166.8,1,POLE
UBR3ring (38),CORUM,DNA synthesome complex (17 subunits) (human),0.03366710996592093,0.03625688765560715,107.5,1,POLE
UBR3ring (38),CORUM,"Respiratory chain complex I, mitochondrial (mouse)",0.07331940027913937,0.07603493362281119,36.1,1,NDUFB10
UBR3ring (38),GO_Biological_Process_2023,Regulation Of Exit From Mitosis (GO:0007096),0.000315297453838473,0.06408528262939386,744.6,2,CDC23;KNTC1
UBR3ring (38),GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",0.00036877938937970964,0.06408528262939386,104.6,4,GCFC2;SART1;RNPS1;PPIL3
