,H. sapiens,M. musculus,X. laevis,P. marinus,C. intestinalis,B. floridae,S. purpuratus,O. sinensis,D. melanogaster,A. mellifera,P. tepidariorum,H. vulgaris,N. vectensis
H. sapiens,100.0,99.2,93.0,81.2,73.0,79.4,78.2,60.6,62.2,63.8,73.2,63.1,70.2
M. musculus,99.2,100.0,93.0,81.2,73.0,79.4,78.2,61.4,62.2,63.8,73.2,63.1,71.1
X. laevis,93.0,93.0,100.0,78.9,73.0,81.7,75.8,60.6,62.2,62.2,71.7,62.3,71.1
P. marinus,81.2,81.2,78.9,100.0,70.2,71.2,70.0,60.2,57.8,60.9,65.2,61.5,68.6
C. intestinalis,73.0,73.0,73.0,70.2,100.0,71.5,67.4,60.3,54.8,58.8,67.7,62.8,69.4
B. floridae,79.4,79.4,81.7,71.2,71.5,100.0,75.4,61.4,56.7,64.4,66.4,62.3,69.4
S. purpuratus,78.2,78.2,75.8,70.0,67.4,75.4,100.0,62.3,56.8,62.3,65.1,62.5,68.3
O. sinensis,60.6,61.4,60.6,60.2,60.3,61.4,62.3,100.0,53.1,60.0,62.2,57.7,62.3
D. melanogaster,62.2,62.2,62.2,57.8,54.8,56.7,56.8,53.1,100.0,60.9,56.9,52.0,58.7
A. mellifera,63.8,63.8,62.2,60.9,58.8,64.4,62.3,60.0,60.9,100.0,59.7,56.5,67.2
P. tepidariorum,73.2,73.2,71.7,65.2,67.7,66.4,65.1,62.2,56.9,59.7,100.0,57.7,63.9
H. vulgaris,63.1,63.1,62.3,61.5,62.8,62.3,62.5,57.7,52.0,56.5,57.7,100.0,61.2
N. vectensis,70.2,71.1,71.1,68.6,69.4,69.4,68.3,62.3,58.7,67.2,63.9,61.2,100.0
