source,term_id,term_name,p_value,term_size,query_size,intersection_size,precision,recall,neg_log10_p
CORUM,CORUM:2728,SRC-1 complex,0.049652489207577824,3,19,2,0.10526315789473684,0.6666666666666666,1.3040589743183078
CORUM,CORUM:6147,BAFL-BAF-LAP2beta complex,0.049652489207577824,3,19,2,0.10526315789473684,0.6666666666666666,1.3040589743183078
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,0.005455245164406336,3152,42,19,0.4523809523809524,0.006027918781725888,2.263185726990162
GO:BP,GO:0009892,negative regulation of metabolic process,0.009800283591753051,3276,42,19,0.4523809523809524,0.0057997557997558,2.0087613569042944
GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.01122534172973878,1804,42,14,0.3333333333333333,0.007760532150776054,1.9498004290256807
GO:BP,GO:0060255,regulation of macromolecule metabolic process,0.01160038979985515,6392,42,27,0.6428571428571429,0.004224030037546934,1.9355274172315406
GO:BP,GO:0051252,regulation of RNA metabolic process,0.011651535928743743,3654,42,20,0.47619047619047616,0.005473453749315818,1.9336168212980098
GO:BP,GO:0010558,negative regulation of macromolecule biosynthetic process,0.015846188871769622,2733,42,17,0.40476190476190477,0.0062202707647274055,1.800075171994028
GO:BP,GO:0009893,positive regulation of metabolic process,0.017881690537403804,3410,42,19,0.4523809523809524,0.005571847507331379,1.74759142534102
GO:BP,GO:0010605,negative regulation of macromolecule metabolic process,0.018105222740682363,3080,42,18,0.42857142857142855,0.005844155844155844,1.7421961278779445
GO:BP,GO:1904017,cellular response to Thyroglobulin triiodothyronine,0.021724461858901617,3,42,2,0.047619047619047616,0.6666666666666666,1.6630509727436986
GO:BP,GO:0009890,negative regulation of biosynthetic process,0.022208571629771953,2802,42,17,0.40476190476190477,0.006067094932191292,1.653479372710259
GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,0.039652689447441186,3954,42,20,0.47619047619047616,0.005058168942842691,1.401727351282773
GO:BP,GO:0010468,regulation of gene expression,0.04707596848838211,5549,42,24,0.5714285714285714,0.004325103622274284,1.327200736529916
GO:BP,GO:0043488,regulation of mRNA stability,0.04817022105591678,176,42,5,0.11904761904761904,0.028409090909090908,1.3172213606786205
GO:CC,GO:0005654,nucleoplasm,6.459474212743504e-07,4334,45,27,0.6,0.006229810798338717,6.189802831199553
GO:CC,GO:0005634,nucleus,3.149014994921922e-06,10153,45,39,0.8666666666666667,0.0038412291933418692,5.501825271343024
GO:CC,GO:0005694,chromosome,5.733872541149109e-06,2010,45,18,0.4,0.008955223880597015,5.241551965259581
GO:CC,GO:0036464,cytoplasmic ribonucleoprotein granule,1.2232690698679968e-05,264,45,8,0.17777777777777778,0.030303030303030304,4.912478005182669
GO:CC,GO:0043228,membraneless organelle,0.0001089470761897737,7128,45,31,0.6888888888888889,0.0043490460157126825,3.962784420412549
GO:CC,GO:0043232,intracellular membraneless organelle,0.0001089470761897737,7128,45,31,0.6888888888888889,0.0043490460157126825,3.962784420412549
GO:CC,GO:0031981,nuclear lumen,0.0002062259311285276,5622,45,27,0.6,0.0048025613660619,3.685656726841223
GO:CC,GO:0035770,ribonucleoprotein granule,0.0006042783924394258,773,45,10,0.2222222222222222,0.0129366106080207,3.2187629348134306
GO:CC,GO:0000785,chromatin,0.0006422100331287499,1409,45,13,0.28888888888888886,0.009226401703335699,3.192322913814027
GO:CC,GO:0043233,organelle lumen,0.0027193606756718393,6791,45,28,0.6222222222222222,0.004123104108378736,2.565533187018666
GO:CC,GO:0070013,intracellular organelle lumen,0.0027193606756718393,6791,45,28,0.6222222222222222,0.004123104108378736,2.565533187018666
GO:CC,GO:0031974,membrane-enclosed lumen,0.0027193606756718393,6791,45,28,0.6222222222222222,0.004123104108378736,2.565533187018666
GO:CC,GO:0090537,CERF complex,0.005486750623776555,4,45,2,0.044444444444444446,0.5,2.2606847783092854
GO:CC,GO:0010494,cytoplasmic stress granule,0.009781728692737489,96,45,4,0.08888888888888889,0.041666666666666664,2.0095843869942938
GO:CC,GO:0000932,P-body,0.011478229394279813,100,45,4,0.08888888888888889,0.04,1.9401251000565296
GO:CC,GO:0016589,NURF complex,0.019129201948906546,7,45,2,0.044444444444444446,0.2857142857142857,1.7183031479243895
GO:CC,GO:0005622,intracellular anatomical structure,0.019984933555349894,18007,45,45,1.0,0.002499028155717221,1.699297291316454
GO:CC,GO:0000228,nuclear chromosome,0.024779355304528506,234,45,5,0.1111111111111111,0.021367521367521368,1.605909997045025
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.03379356290693602,14817,45,41,0.9111111111111111,0.002767091853951542,1.4711660174808243
GO:CC,GO:0000786,nucleosome,0.037841728635095016,136,45,4,0.08888888888888889,0.029411764705882353,1.4220290329590488
GO:MF,GO:0003676,nucleic acid binding,6.935264871414129e-09,5437,45,34,0.7555555555555555,0.0062534485929740665,8.158936947712991
GO:MF,GO:0003682,chromatin binding,0.00031671673117104486,603,45,10,0.2222222222222222,0.01658374792703151,3.4993289935799976
GO:MF,GO:0003677,DNA binding,0.0016603065427700972,2540,45,18,0.4,0.007086614173228346,2.77981172066906
GO:MF,GO:0140658,ATP-dependent chromatin remodeler activity,0.00561551440057595,20,45,3,0.06666666666666667,0.15,2.2506104547009844
GO:MF,GO:0140097,"catalytic activity, acting on DNA",0.008599645440360846,248,45,6,0.13333333333333333,0.024193548387096774,2.0655194541598134
GO:MF,GO:0060090,molecular adaptor activity,0.011936041202465206,1334,45,12,0.26666666666666666,0.008995502248875561,1.9231396907115208
GO:MF,GO:0005515,protein binding,0.015081948710696083,15082,45,44,0.9777777777777777,0.0029173849622066038,1.8215425404540149
GO:MF,GO:0140750,nucleosome array spacer activity,0.02366793502607202,5,45,2,0.044444444444444446,0.4,1.6258396316316794
GO:MF,GO:0003723,RNA binding,0.026969148291913592,3099,45,18,0.4,0.005808325266214908,1.569132768710728
GO:MF,GO:0140751,histone octamer slider activity,0.03545155650334508,6,45,2,0.044444444444444446,0.3333333333333333,1.4503646923293174
GO:MF,GO:0030527,structural constituent of chromatin,0.03667795110371758,101,45,4,0.08888888888888889,0.039603960396039604,1.4355949327948894
KEGG,KEGG:03082,ATP-dependent chromatin remodeling,0.00833697170002754,117,20,4,0.2,0.03418803418803419,2.078991672719439
KEGG,KEGG:05322,Systemic lupus erythematosus,0.01490769354348306,136,20,4,0.2,0.029411764705882353,1.826589543590738
REAC,REAC:R-HSA-9018519,Estrogen-dependent gene expression,0.00038831321925907514,147,27,6,0.2222222222222222,0.04081632653061224,3.4108178246134955
REAC,REAC:R-HSA-8939211,ESR-mediated signaling,0.0035132608774168764,215,27,6,0.2222222222222222,0.027906976744186046,2.454289600445368
REAC,REAC:R-HSA-9006931,Signaling by Nuclear Receptors,0.01868046707863393,289,27,6,0.2222222222222222,0.020761245674740483,1.728612269051465
REAC,REAC:R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,0.02067771413277896,90,27,4,0.14814814814814814,0.044444444444444446,1.684497473043802
REAC,REAC:R-HSA-1912408,Pre-NOTCH Transcription and Translation,0.022536269182820767,92,27,4,0.14814814814814814,0.043478260869565216,1.6471179785925927
REAC,REAC:R-HSA-8936459,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,0.025548817696025,95,27,4,0.14814814814814814,0.042105263157894736,1.5926291925927827
REAC,REAC:R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,0.029103656587006577,36,27,3,0.1111111111111111,0.08333333333333333,1.5360524427737186
REAC,REAC:R-HSA-195721,Signaling by WNT,0.037041023294232325,327,27,6,0.2222222222222222,0.01834862385321101,1.4313170240176474
REAC,REAC:R-HSA-73894,DNA Repair,0.03830528266641983,329,27,6,0.2222222222222222,0.0182370820668693,1.4167413285204054
REAC,REAC:R-HSA-426496,Post-transcriptional silencing by small RNAs,0.039638478226379587,7,27,2,0.07407407407407407,0.2857142857142857,1.401883027006446
REAC,REAC:R-HSA-1912422,Pre-NOTCH Expression and Processing,0.042086262680089,108,27,4,0.14814814814814814,0.037037037037037035,1.3758596385066462
