,H. sapiens,M. musculus,X. laevis,G_gallus,D_rerio,C. intestinalis,B. floridae
H. sapiens,100.0,95.9,76.0,88.5,77.0,68.0,68.0
M. musculus,95.9,100.0,77.7,90.2,77.0,68.9,68.0
X. laevis,76.0,77.7,100.0,79.3,72.7,65.6,70.7
G_gallus,88.5,90.2,79.3,100.0,80.3,67.2,67.2
D_rerio,77.0,77.0,72.7,80.3,100.0,65.9,65.9
C. intestinalis,68.0,68.9,65.6,67.2,65.9,100.0,71.8
B. floridae,68.0,68.0,70.7,67.2,65.9,71.8,100.0
