queryItem	queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
AAAS	0	9606.ENSP00000209873	9606	Homo sapiens	AAAS	Aladin; Plays a role in the normal development of the peripheral and central nervous system. Required for the correct localization of aurora kinase AURKA and the microtubule minus end-binding protein NUMA1 as well as a subset of AURKA targets which ensures proper spindle formation and timely chromosome alignment.
AP1G2	1	9606.ENSP00000312442	9606	Homo sapiens	AP1G2	AP-1 complex subunit gamma-like 2; May function in protein sorting in late endosomes or multivesucular bodies (MVBs).
BAG2	2	9606.ENSP00000359727	9606	Homo sapiens	BAG2	BAG family molecular chaperone regulator 2; Co-chaperone for HSP70 and HSC70 chaperone proteins. Acts as a nucleotide-exchange factor (NEF) promoting the release of ADP from the HSP70 and HSC70 proteins thereby triggering client/substrate protein release.
BAG6	3	9606.ENSP00000365131	9606	Homo sapiens	BAG6	Large proline-rich protein BAG6; ATP-independent molecular chaperone preventing the aggregation of misfolded and hydrophobic patches-containing proteins. Functions as part of a cytosolic protein quality control complex, the BAG6/BAT3 complex, which maintains these client proteins in a soluble state and participates to their proper delivery to the endoplasmic reticulum or alternatively can promote their sorting to the proteasome where they undergo degradation. The BAG6/BAT3 complex is involved in the post-translational delivery of tail- anchored/type II transmembrane proteins to the end [...] 
BANF1	4	9606.ENSP00000433760	9606	Homo sapiens	BANF1	Barrier-to-autointegration factor, N-terminally processed; Plays fundamental roles in nuclear assembly, chromatin organization, gene expression and gonad development. May potently compress chromatin structure and be involved in membrane recruitment and chromatin decondensation during nuclear assembly. Contains 2 non- specific dsDNA-binding sites which may promote DNA cross-bridging.  (Microbial infection) In case of poxvirus infection, has an antiviral activity by blocking viral DNA replication.
BCL9	5	9606.ENSP00000234739	9606	Homo sapiens	BCL9	B-cell CLL/lymphoma 9 protein; Involved in signal transduction through the Wnt pathway. Promotes beta-catenin's transcriptional activity (By similarity). Belongs to the BCL9 family.
BLM	6	9606.ENSP00000347232	9606	Homo sapiens	BLM	Bloom syndrome protein; ATP-dependent DNA helicase that unwinds single- and double- stranded DNA in a 3'-5' direction. Participates in DNA replication and repair. Involved in 5'-end resection of DNA during double-strand break (DSB) repair: unwinds DNA and recruits DNA2 which mediates the cleavage of 5'-ssDNA. Negatively regulates sister chromatid exchange (SCE). Stimulates DNA 4-way junction branch migration and DNA Holliday junction dissolution. Binds single- stranded DNA (ssDNA), forked duplex DNA and DNA Holliday junction.
BRAT1	7	9606.ENSP00000339637	9606	Homo sapiens	BRAT1	BRCA1-associated ATM activator 1; Involved in DNA damage response; activates kinases ATM, SMC1A and PRKDC by modulating their phosphorylation status following ionizing radiation (IR) stress. Plays a role in regulating mitochondrial function and cell proliferation. Required for protein stability of MTOR and MTOR- related proteins, and cell cycle progress by growth factors.
CCHCR1	8	9606.ENSP00000379566	9606	Homo sapiens	CCHCR1	Coiled-coil alpha-helical rod protein 1; May be a regulator of keratinocyte proliferation or differentiation.
CDC23	9	9606.ENSP00000378350	9606	Homo sapiens	CDC23	Cell division cycle protein 23 homolog; Component of the anaphase promoting complex/cyclosome (APC/C), a cell cycle-regulated E3 ubiquitin ligase that controls progression through mitosis and the G1 phase of the cell cycle. The APC/C complex acts by mediating ubiquitination and subsequent degradation of target proteins: it mainly mediates the formation of 'Lys-11'-linked polyubiquitin chains and, to a lower extent, the formation of 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains. Belongs to the APC8/CDC23 family.
