,Human,Mouse,Fruitfly,Thermobia,Electropho,Poecilia,Scyliorhin,Giraffa,Scardinius,Grus,Spermophil
Human,100.0,95.4,34.8,44.9,74.0,74.5,76.3,97.1,74.8,89.6,97.7
Mouse,95.4,100.0,34.8,44.8,73.3,74.5,76.0,94.7,74.4,88.0,95.6
Fruitfly,34.8,34.8,100.0,47.2,31.1,33.4,34.6,34.9,33.2,34.8,34.6
Thermobia,44.9,44.8,47.2,100.0,43.6,44.8,45.7,44.9,44.8,45.3,44.8
Electropho,74.0,73.3,31.1,43.6,100.0,83.0,73.6,73.5,86.7,77.4,73.9
Poecilia,74.5,74.5,33.4,44.8,83.0,100.0,75.2,74.1,85.9,78.8,75.0
Scyliorhin,76.3,76.0,34.6,45.7,73.6,75.2,100.0,76.0,75.2,79.9,76.4
Giraffa,97.1,94.7,34.9,44.9,73.5,74.1,76.0,100.0,74.4,89.5,96.9
Scardinius,74.8,74.4,33.2,44.8,86.7,85.9,75.2,74.4,100.0,78.4,74.8
Grus,89.6,88.0,34.8,45.3,77.4,78.8,79.9,89.5,78.4,100.0,89.7
Spermophil,97.7,95.6,34.6,44.8,73.9,75.0,76.4,96.9,74.8,89.7,100.0
