WT_rank,Gene,Protein,UniProt,WT/293T log2 enrichment,WT/293T q,RING comparison,Cellular role,Pathway module(s),Module name(s),Specific terms (n),Shares pathways with,Remaining at 15 h,Derived t1/2 (h),Stability call,Decay fit R2,N-degron class,MW (kDa),Razor+unique peptides
1,UBR3,E3 ubiquitin-protein ligase UBR3,Q6ZT12,17.16,0.0099569609423911,shared / RING-independent,Ubiquitin & proteostasis,,,0,,0.333,9.7,t1/2 within assay window,0.87,Stabilizing,212.43,120
2,CHD7,Chromodomain-helicase-DNA-binding protein 7,Q9P2D1,13.03,0.0021224249247464,WT-preferring (RING-dependent binding),Chromatin remodeling / DNA modification,M2,M2 ATP-dependent chromatin remodeling,2,SMARCA1;SMARCA5,0.541,17.0,t1/2 > 15 h assay (extrapolated),0.98,Stabilizing,335.92,77
3,TDRD3,Tudor domain-containing protein 3,Q9H7E2,10.3,0.0032566296733541,WT-preferring (RING-dependent binding),Chromatin remodeling / DNA modification,,,0,,1.151,,no decay in 15 h,,Stabilizing,73.184,19
4,H3-7,Histone H3-7,Q5TEC6,10.25,0.0004103890139033,WT-preferring (RING-dependent binding),Histones & chromatin,M3,M3 Nucleosome / histone core,3,H2AC6;H2BC13;MACROH2A1,,,not quantified,,Stabilizing,15.43,1
5,SMARCA5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,O60264,9.96,0.0448684956290936,WT-preferring (RING-dependent binding),Chromatin remodeling / DNA modification,M2,M2 ATP-dependent chromatin remodeling,9,BLM;CHD7;H2AC6;MACROH2A1;POLE;SMARCA1;TET1,0.811,55.5,t1/2 > 15 h assay (extrapolated),0.67,Stabilizing,121.9,26
6,BCL9,B-cell CLL/lymphoma 9 protein,O00512,9.91,0.0079557058516627,WT-preferring (RING-dependent binding),Transcription & coregulators,M1;M3,M1 mRNA silencing & RNP granules | M3 Nucleosome / histone core,2,H2AC6;H2BC13;TLE4,0.602,21.6,t1/2 > 15 h assay (extrapolated),0.89,Stabilizing,149.29,15
7,DCP1A,mRNA-decapping enzyme 1A,Q9NPI6,9.03,0.0001708541379842,WT-preferring (RING-dependent binding),mRNA silencing & translation,M1,M1 mRNA silencing & RNP granules,3,GIGYF2;LARP1B;TNRC6B;TNRC6C;UBAP2,0.97,602.8,t1/2 > 15 h assay (extrapolated),0.03,Stabilizing,63.278,9
8,COL14A1,Collagen alpha-1(XIV) chain,Q05707,9.02,0.0040508114162067,shared / RING-independent,Cytoskeleton & structural,,,0,,0.642,23.7,t1/2 > 15 h assay (extrapolated),0.92,Stabilizing,193.51,14
9,MCRIP2,MAPK regulated corepressor interacting protein 2,Q9BUT9,9.01,0.0026025030838399,WT-preferring (RING-dependent binding),Transcription & coregulators,M1,M1 mRNA silencing & RNP granules,2,GIGYF2;LARP1B;UBAP2L,0.945,427.5,t1/2 > 15 h assay (extrapolated),0.0,Stabilizing,17.828,4
10,BLM,RecQ-like DNA helicase BLM,P54132,8.91,0.0140698551140717,WT-preferring (RING-dependent binding),DNA replication & repair,M2,M2 ATP-dependent chromatin remodeling,3,POLE;SMARCA5;TET1,0.576,19.0,t1/2 > 15 h assay (extrapolated),0.99,Stabilizing,159.0,17
